number of cooks =14,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
78905,10,1,0,
78908,10,1,0,
78910,10,1,0,
78903,20,2,0,
78904,20,2,0,
78916,10,1,0,
78918,12,1,2,
78919,11,1,1,
78911,20,2,0,
78912,20,2,0,
78913,20,2,0,
78914,20,2,0,
78921,14,1,4,
78915,20,2,0,
78922,16,1,6,
78906,30,3,0,
78917,22,2,2,
78907,30,3,0,
78909,30,3,0,
78923,19,1,9,
78924,20,1,10,
78927,20,1,10,
78928,20,1,10,
78929,21,1,11,
78932,21,1,11,
78936,19,1,9,
78925,30,2,10,
78920,35,3,5,
78938,21,1,11,
78940,21,1,11,
78931,32,2,12,
78933,30,2,10,
78941,22,1,12,
78934,28,2,8,
78935,29,2,9,
78937,29,2,9,
78926,40,3,10,
78943,25,1,15,
78939,30,2,10,
78944,26,1,16,
78930,41,3,11,
78947,27,1,17,
78952,29,1,19,
78954,27,1,17,
78945,36,2,16,
78948,39,2,19,
78951,37,2,17,
78942,45,3,15,
78953,36,2,16,
78955,36,2,16,
78961,27,1,17,
78946,47,3,17,
78957,36,2,16,
78949,47,3,17,
78950,47,3,17,
78964,32,1,22,
78959,37,2,17,
78965,27,1,17,
78956,47,3,17,
78968,29,1,19,
78958,48,3,18,
78962,41,2,21,
78970,31,1,21,
78960,46,3,16,
78966,39,2,19,
78967,39,2,19,
78976,34,1,24,
78963,51,3,21,
78974,43,2,23,
78975,44,2,24,
78969,49,3,19,
78971,50,3,20,
78978,43,2,23,
78979,41,2,21,
78972,53,3,23,
78973,53,3,23,
78980,41,2,21,
78986,37,1,27,
78977,51,3,21,
78990,39,1,29,
78985,48,2,28,
78981,52,3,22,
78982,52,3,22,
78994,43,1,33,
78983,53,3,23,
78984,56,3,26,
78991,50,2,30,
78992,51,2,31,
78993,51,2,31,
78998,44,1,34,
78999,45,1,35,
78987,58,3,28,
79001,44,1,34,
78988,59,3,29,
78989,60,3,30,
78996,51,2,31,
79003,47,1,37,
78997,54,2,34,
79000,53,2,33,
79008,47,1,37,
78995,62,3,32,
79009,47,1,37,
79005,57,2,37,
79014,50,1,40,
79016,50,1,40,
79017,50,1,40,
79002,65,3,35,
79012,58,2,38,
79013,59,2,39,
79004,67,3,37,
79006,68,3,38,
79007,67,3,37,
79015,60,2,40,
79018,61,2,41,
79010,68,3,38,
79011,67,3,37,
79023,60,1,50,
79026,62,1,52,
79019,66,2,46,
79020,66,2,46,
79027,63,1,53,
79028,64,1,54,
79031,59,1,49,
79029,74,2,54,
79021,78,3,48,
79022,79,3,49,
79024,81,3,51,
79025,82,3,52,
79035,73,2,53,
79036,71,2,51,
79037,72,2,52,
79040,71,1,61,
79030,83,3,53,
79032,80,3,50,
79039,74,2,54,
79033,80,3,50,
79043,73,1,63,
79034,83,3,53,
79045,74,1,64,
79038,81,3,51,
79047,74,1,64,
79041,80,2,60,
79048,76,1,66,
79042,81,2,61,
79052,75,1,65,
79053,75,1,65,
79044,84,2,64,
79046,84,2,64,
79055,77,1,67,
79059,78,1,68,
79049,84,2,64,
79050,85,2,65,
79051,84,2,64,
79057,87,2,67,
79066,82,1,72,
79068,82,1,72,
79061,87,2,67,
79054,97,3,67,
79064,89,2,69,
79065,89,2,69,
79056,98,3,68,
79058,97,3,67,
79060,96,3,66,
79069,91,2,71,
79062,98,3,68,
79063,97,3,67,
79077,93,1,83,
79067,101,3,71,
79079,93,1,83,
79071,100,2,80,
79072,99,2,79,
79073,100,2,80,
79074,101,2,81,
79070,107,3,77,
79078,102,2,82,
79085,98,1,88,
79080,104,2,84,
79075,113,3,83,
79076,113,3,83,
79084,111,2,91,
79086,109,2,89,
79087,109,2,89,
79093,104,1,94,
79081,115,3,85,
79088,110,2,90,
79082,116,3,86,
79095,106,1,96,
79083,119,3,89,
79091,113,2,93,
79092,113,2,93,
79098,109,1,99,
79089,121,3,91,
79094,115,2,95,
79090,122,3,92,
79107,112,1,102,
79100,119,2,99,
79102,119,2,99,
79108,113,1,103,
79104,122,2,102,
79105,122,2,102,
79096,128,3,98,
79097,129,3,99,
79099,129,3,99,
79101,129,3,99,
79112,120,1,110,
79113,121,1,111,
79114,121,1,111,
79103,133,3,103,
79110,125,2,105,
79115,124,1,114,
79106,130,3,100,
79123,127,1,117,
79109,135,3,105,
79125,128,1,118,
79126,128,1,118,
79116,134,2,114,
79111,141,3,111,
79120,135,2,115,
79122,136,2,116,
79117,145,3,115,
79118,145,3,115,
79127,139,2,119,
79119,146,3,116,
79133,138,1,128,
79121,146,3,116,
79134,136,1,126,
79128,143,2,123,
79124,148,3,118,
79131,145,2,125,
79137,138,1,128,
79138,138,1,128,
79140,140,1,130,
79141,139,1,129,
79135,148,2,128,
79129,153,3,123,
79143,141,1,131,
79130,154,3,124,
79132,154,3,124,
79136,151,2,131,
79149,142,1,132,
79150,143,1,133,
79151,143,1,133,
79145,153,2,133,
79139,158,3,128,
79147,151,2,131,
79142,159,3,129,
79157,148,1,138,
79144,162,3,132,
79153,152,2,132,
79146,163,3,133,
79160,151,1,141,
79148,164,3,134,
79156,158,2,138,
79163,151,1,141,
79152,164,3,134,
79158,157,2,137,
79154,163,3,133,
79155,163,3,133,
79159,160,2,140,
79167,147,1,137,
79162,158,2,138,
79172,148,1,138,
79166,158,2,138,
79161,168,3,138,
79164,171,3,141,
79165,172,3,142,
79175,159,2,139,
79176,160,2,140,
79168,169,3,139,
79177,159,2,139,
79169,169,3,139,
79170,170,3,140,
79171,170,3,140,
79178,163,2,143,
79173,170,3,140,
79174,170,3,140,
79183,158,1,148,
79179,165,2,145,
79180,165,2,145,
79187,160,1,150,
79188,161,1,151,
79181,170,2,150,
79182,171,2,151,
79184,171,2,151,
79186,170,2,150,
79189,171,2,151,
79198,164,1,154,
79199,164,1,154,
79191,172,2,152,
79194,173,2,153,
79185,180,3,150,
79201,169,1,159,
79196,174,2,154,
79190,181,3,151,
79203,171,1,161,
79192,182,3,152,
79204,172,1,162,
79193,183,3,153,
79195,182,3,152,
79208,168,1,158,
79197,184,3,154,
79212,167,1,157,
79214,167,1,157,
79200,188,3,158,
79207,179,2,159,
79209,179,2,159,
79202,191,3,161,
79211,176,2,156,
79205,191,3,161,
79206,189,3,159,
79219,173,1,163,
79220,173,1,163,
79221,174,1,164,
79216,179,2,159,
79210,189,3,159,
79213,186,3,156,
79218,182,2,162,
79215,187,3,157,
79227,174,1,164,
79217,191,3,161,
79223,183,2,163,
79231,174,1,164,
79224,185,2,165,
79225,183,2,163,
79232,174,1,164,
79226,186,2,166,
79229,183,2,163,
79222,194,3,164,
79230,184,2,164,
79236,174,1,164,
79240,172,1,162,
79233,183,2,163,
79241,172,1,162,
79242,173,1,163,
79235,181,2,161,
79228,196,3,166,
79244,175,1,165,
79237,184,2,164,
79239,182,2,162,
79248,176,1,166,
79234,192,3,162,
79243,184,2,164,
79245,184,2,164,
79253,174,1,164,
79238,193,3,163,
79255,176,1,166,
79247,187,2,167,
79250,182,2,162,
79258,179,1,169,
79259,180,1,170,
79246,195,3,165,
79249,196,3,166,
79256,187,2,167,
79257,187,2,167,
79251,192,3,162,
79264,183,1,173,
79252,192,3,162,
79265,185,1,175,
79260,190,2,170,
79254,195,3,165,
79262,192,2,172,
79263,190,2,170,
79270,185,1,175,
79271,185,1,175,
79276,187,1,177,
79261,200,3,170,
79273,195,2,175,
79266,206,3,176,
79267,202,3,172,
79281,195,1,185,
79282,193,1,183,
79277,200,2,180,
79268,205,3,175,
79269,205,3,175,
79272,206,3,176,
79283,199,1,189,
79274,207,3,177,
79275,208,3,178,
79278,209,3,179,
79279,211,3,181,
79280,210,3,180,
79294,204,1,194,
79285,211,2,191,
79287,211,2,191,
79288,212,2,192,
79289,212,2,192,
79295,206,1,196,
79291,214,2,194,
79293,214,2,194,
79284,220,3,190,
79286,221,3,191,
79300,209,1,199,
79290,222,3,192,
79301,209,1,199,
79302,209,1,199,
79297,217,2,197,
79292,222,3,192,
79305,211,1,201,
79298,220,2,200,
79307,212,1,202,
79308,213,1,203,
79303,217,2,197,
79309,214,1,204,
79310,212,1,202,
79296,226,3,196,
79306,221,2,201,
79314,211,1,201,
79299,228,3,198,
79316,212,1,202,
79311,220,2,200,
79304,230,3,200,
79312,218,2,198,
79323,209,1,199,
79324,209,1,199,
79321,214,2,194,
79327,207,1,197,
79313,229,3,199,
79328,207,1,197,
79322,219,2,199,
79315,232,3,202,
79329,211,1,201,
79325,219,2,199,
79317,233,3,203,
79318,233,3,203,
79319,225,3,195,
79320,225,3,195,
79326,219,2,199,
79331,212,1,202,
79330,220,2,200,
79337,216,1,206,
79338,216,1,206,
79339,216,1,206,
79342,216,1,206,
79344,216,1,206,
79333,223,2,203,
79334,223,2,203,
79336,226,2,206,
79346,222,1,212,
79347,222,1,212,
79343,226,2,206,
79349,223,1,213,
79332,234,3,204,
79335,235,3,205,
79345,231,2,211,
79340,236,3,206,
79341,237,3,207,
79356,228,1,218,
79358,229,1,219,
79353,235,2,215,
79348,241,3,211,
79355,237,2,217,
79362,235,1,225,
79363,235,1,225,
79350,242,3,212,
79351,243,3,213,
79352,242,3,212,
79364,236,1,226,
79359,241,2,221,
79365,240,1,230,
79354,247,3,217,
79361,244,2,224,
79368,241,1,231,
79357,248,3,218,
79373,235,1,225,
79360,253,3,223,
79367,251,2,231,
79371,250,2,230,
79374,247,2,227,
79381,244,1,234,
79366,260,3,230,
79379,249,2,229,
79369,262,3,232,
79370,261,3,231,
79372,256,3,226,
79383,247,1,237,
79375,258,3,228,
79376,258,3,228,
79385,251,1,241,
79377,259,3,229,
79378,259,3,229,
79389,251,1,241,
79390,251,1,241,
79380,261,3,231,
79384,260,2,240,
79394,251,1,241,
79386,262,2,242,
79382,266,3,236,
79396,252,1,242,
79387,262,2,242,
79391,260,2,240,
79400,251,1,241,
79392,262,2,242,
79401,253,1,243,
79403,253,1,243,
79388,272,3,242,
79405,254,1,244,
79398,260,2,240,
79399,259,2,239,
79406,255,1,245,
79393,271,3,241,
79395,270,3,240,
79409,259,1,249,
79397,271,3,241,
79412,259,1,249,
79407,268,2,248,
79408,268,2,248,
79416,262,1,252,
79402,273,3,243,
79417,263,1,253,
79410,268,2,248,
79404,275,3,245,
79420,263,1,253,
79415,269,2,249,
79421,266,1,256,
79423,265,1,255,
79425,265,1,255,
79411,279,3,249,
79419,272,2,252,
79413,279,3,249,
79414,280,3,250,
79429,267,1,257,
79422,274,2,254,
79424,274,2,254,
79418,283,3,253,
79426,275,2,255,
79427,276,2,256,
79437,272,1,262,
79430,280,2,260,
79431,280,2,260,
79440,275,1,265,
79441,274,1,264,
79434,281,2,261,
79428,287,3,257,
79438,284,2,264,
79439,285,2,265,
79432,291,3,261,
79433,290,3,260,
79435,291,3,261,
79436,291,3,261,
79449,277,1,267,
79445,291,2,271,
79452,280,1,270,
79442,295,3,265,
79453,279,1,269,
79448,286,2,266,
79454,279,1,269,
79443,298,3,268,
79444,300,3,270,
79451,289,2,269,
79446,300,3,270,
79447,301,3,271,
79460,284,1,274,
79456,289,2,269,
79450,300,3,270,
79464,288,1,278,
79465,289,1,279,
79458,295,2,275,
79467,288,1,278,
79468,289,1,279,
79461,295,2,275,
79455,300,3,270,
79462,295,2,275,
79463,296,2,276,
79457,304,3,274,
79472,295,1,285,
79459,305,3,275,
79476,296,1,286,
79469,300,2,280,
79470,304,2,284,
79466,309,3,279,
79481,300,1,290,
79482,297,1,287,
79483,297,1,287,
79471,313,3,283,
79480,309,2,289,
79486,300,1,290,
79473,315,3,285,
79474,316,3,286,
79475,316,3,286,
79477,315,3,285,
79478,315,3,285,
79484,306,2,286,
79479,316,3,286,
79492,302,1,292,
79488,311,2,291,
79494,302,1,292,
79485,318,3,288,
79487,320,3,290,
79502,301,1,291,
79495,312,2,292,
79489,316,3,286,
79499,308,2,288,
79490,320,3,290,
79491,321,3,291,
79493,321,3,291,
79501,311,2,291,
79496,322,3,292,
79497,320,3,290,
79498,317,3,287,
79508,311,1,301,
79509,313,1,303,
79510,314,1,304,
79500,322,3,292,
79504,319,2,299,
79506,320,2,300,
79516,308,1,298,
79503,326,3,296,
79517,310,1,300,
79518,311,1,301,
79511,324,2,304,
79519,311,1,301,
79512,324,2,304,
79505,330,3,300,
79513,325,2,305,
79507,330,3,300,
79515,322,2,302,
79523,313,1,303,
79520,319,2,299,
79526,311,1,301,
79527,312,1,302,
79514,333,3,303,
79522,323,2,303,
79525,325,2,305,
79534,315,1,305,
79535,312,1,302,
79529,322,2,302,
79521,329,3,299,
79530,322,2,302,
79533,322,2,302,
79524,334,3,304,
79528,332,3,302,
79541,319,1,309,
79537,323,2,303,
79543,319,1,309,
79531,328,3,298,
79544,320,1,310,
79532,329,3,299,
79538,327,2,307,
79545,324,1,314,
79546,324,1,314,
79539,330,2,310,
79536,333,3,303,
79548,326,1,316,
79552,322,1,312,
79554,323,1,313,
79556,323,1,313,
79557,324,1,314,
79540,341,3,311,
79547,337,2,317,
79558,325,1,315,
79542,340,3,310,
79549,335,2,315,
79550,335,2,315,
79562,330,1,320,
79565,331,1,321,
79559,335,2,315,
79551,343,3,313,
79553,342,3,312,
79569,326,1,316,
79560,337,2,317,
79555,343,3,313,
79563,342,2,322,
79564,341,2,321,
79575,333,1,323,
79561,349,3,319,
79566,351,3,321,
79567,347,3,317,
79568,346,3,316,
79573,343,2,323,
79570,352,3,322,
79579,349,2,329,
79571,354,3,324,
79582,342,1,332,
79583,341,1,331,
79572,354,3,324,
79574,353,3,323,
79585,339,1,329,
79576,353,3,323,
79577,357,3,327,
79586,344,1,334,
79578,359,3,329,
79587,346,1,336,
79589,345,1,335,
79584,352,2,332,
79592,344,1,334,
79580,356,3,326,
79593,343,1,333,
79594,343,1,333,
79581,357,3,327,
79596,348,1,338,
79590,355,2,335,
79598,349,1,339,
79599,348,1,338,
79600,348,1,338,
79601,348,1,338,
79595,357,2,337,
79597,358,2,338,
79606,352,1,342,
79588,366,3,336,
79591,363,3,333,
79608,352,1,342,
79609,353,1,343,
79603,357,2,337,
79604,358,2,338,
79605,359,2,339,
79613,353,1,343,
79607,364,2,344,
79610,362,2,342,
79602,368,3,338,
79611,363,2,343,
79612,362,2,342,
