number of cooks =4,number of max customers per minute = 5,number of Cashiers = 4,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
29302,7,1,0,
29304,7,1,0,
29305,7,1,0,
29306,7,1,0,
29303,28,4,0,
29307,29,3,8,
29311,7,1,0,
29309,21,3,0,
29308,28,4,0,
29313,9,1,2,
29310,21,3,0,
29312,14,2,0,
29314,16,1,9,
29318,14,1,7,
29315,24,2,10,
29316,16,2,2,
29319,29,2,15,
29317,33,4,5,
29321,28,3,7,
29320,33,4,5,
29322,41,3,20,
29324,33,2,19,
29323,45,3,24,
29325,35,3,14,
29327,18,2,4,
29328,20,2,6,
29326,23,3,2,
29330,16,1,9,
29329,30,2,16,
29333,14,1,7,
29331,39,4,11,
29332,42,4,14,
29335,36,3,15,
29334,39,4,11,
29338,41,2,27,
29336,41,3,20,
29337,44,3,23,
29339,41,3,20,
29340,53,3,32,
29341,53,3,32,
29343,46,2,32,
29342,63,4,35,
29344,65,3,44,
29345,55,3,34,
29349,43,1,36,
29347,65,3,44,
29346,65,4,37,
29348,60,2,46,
29352,33,1,26,
29353,28,1,21,
29350,65,3,44,
29354,28,2,14,
29351,64,4,36,
29358,22,1,15,
29355,47,4,19,
29356,54,4,26,
29359,37,2,23,
29357,37,4,9,
29360,32,2,18,
29363,42,2,28,
29365,40,1,33,
29361,53,4,25,
29364,44,3,23,
29362,56,4,28,
29368,42,1,35,
29366,45,2,31,
29369,58,3,37,
29371,50,2,36,
29367,62,4,34,
29370,61,4,33,
29372,77,4,49,
29373,79,4,51,
29374,71,4,43,
29375,43,3,22,
29379,21,1,14,
29377,34,2,20,
29380,29,1,22,
29381,32,1,25,
29376,56,4,28,
29383,30,1,23,
29378,50,4,22,
29386,8,1,1,
29382,51,3,30,
29385,35,2,21,
29388,19,1,12,
29389,23,1,16,
29387,23,2,9,
29384,45,4,17,
29391,28,2,14,
29390,31,3,10,
29392,35,3,14,
29396,33,1,26,
29393,34,4,6,
29394,47,4,19,
29398,19,2,5,
29395,50,4,22,
29397,52,4,24,
29400,14,2,0,
29399,29,3,8,
29403,12,1,5,
29401,29,4,1,
29405,17,2,3,
29402,31,4,3,
29406,24,2,10,
29404,38,4,10,
29410,26,1,19,
29409,29,2,15,
29407,29,3,8,
29408,33,3,12,
29411,14,1,7,
29413,7,1,0,
29414,14,2,0,
29412,28,4,0,
29415,14,2,0,
29416,21,3,0,
29417,21,3,0,
29418,14,2,0,
29419,7,1,0,
29422,7,1,0,
29421,14,2,0,
29423,14,2,0,
29420,28,4,0,
29426,14,2,0,
29424,28,4,0,
29427,21,3,0,
29428,12,1,5,
29425,28,4,0,
29429,30,3,9,
29430,28,4,0,
29431,28,4,0,
29432,28,4,0,
29433,29,4,1,
29435,33,2,19,
29436,33,2,19,
29437,24,2,10,
29434,47,4,19,
29439,21,1,14,
29441,25,1,18,
29440,29,2,15,
29442,29,1,22,
29438,52,4,24,
