number of cooks =4,number of max customers per minute = 7,number of Cashiers = 4,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
36348,30,2,0,
36349,30,2,0,
36351,30,2,0,
36350,45,3,0,
36352,45,1,30,
36353,60,2,30,
36354,41,2,11,
36356,42,1,27,
36358,56,1,41,
36359,38,1,23,
36355,71,3,26,
36357,72,2,42,
36360,53,1,38,
36362,67,1,52,
36363,82,2,52,
36361,84,3,39,
36364,83,2,53,
36365,78,2,48,
36367,70,1,55,
36366,84,2,54,
36369,64,1,49,
36368,85,2,55,
36370,71,2,41,
36373,61,1,46,
36371,75,2,45,
36372,75,2,45,
36374,67,1,52,
36375,67,1,52,
36378,97,2,67,
36379,88,2,58,
36376,111,3,66,
36377,111,3,66,
36380,119,2,89,
36381,134,3,89,
36382,147,3,102,
36383,137,3,92,
36384,140,2,110,
36386,158,2,128,
36385,160,3,115,
36388,161,2,131,
36387,173,3,128,
36390,156,1,141,
36391,157,1,142,
36389,179,2,149,
36392,184,2,154,
36394,178,2,148,
36395,190,2,160,
36393,202,3,157,
36396,205,2,175,
36398,196,1,181,
36399,203,2,173,
36397,214,3,169,
36400,216,2,186,
36402,209,1,194,
36401,222,3,177,
36404,237,2,207,
36406,228,1,213,
36403,240,3,195,
36408,244,1,229,
36405,245,3,200,
36407,273,3,228,
36410,274,2,244,
36409,275,3,230,
36411,266,2,236,
36413,271,1,256,
36415,287,2,257,
36412,309,3,264,
36414,302,3,257,
36417,302,1,287,
36416,317,3,272,
36420,309,1,294,
36418,329,2,299,
36419,323,2,293,
36423,341,2,311,
36421,353,3,308,
36422,355,3,310,
36424,359,3,314,
36426,359,1,344,
36427,351,1,336,
36425,372,2,342,
36429,365,1,350,
36428,380,2,350,
36432,371,1,356,
36433,386,1,371,
36430,397,3,352,
36431,398,3,353,
36437,394,1,379,
36435,397,2,367,
36434,397,3,352,
36440,403,1,388,
36436,413,3,368,
36438,424,2,394,
36439,442,3,397,
36441,439,3,394,
36442,439,3,394,
36443,451,3,406,
36444,454,2,424,
36447,447,1,432,
36445,460,2,430,
36448,465,2,435,
36446,465,3,420,
36449,493,3,448,
36450,486,3,441,
36451,501,3,456,
36452,501,3,456,
36453,514,2,484,
36455,516,1,501,
36456,507,1,492,
36454,531,3,486,
36457,550,3,505,
36458,543,3,498,
36460,543,2,513,
36459,543,3,498,
36462,558,1,543,
36464,549,1,534,
36461,571,2,541,
36466,525,1,510,
36463,579,3,534,
36468,541,1,526,
36467,552,2,522,
36465,555,3,510,
36469,584,3,539,
36470,586,3,541,
36471,588,3,543,
36472,591,3,546,
36473,606,2,576,
36476,606,1,591,
36474,608,2,578,
36475,618,2,588,
36477,602,1,587,
36478,603,1,588,
36479,619,2,589,
36480,630,2,600,
36481,632,2,602,
36482,624,2,594,
36485,629,1,614,
36483,640,2,610,
36484,651,2,621,
36486,660,3,615,
36487,660,2,630,
36489,671,2,641,
36490,666,1,651,
36488,676,3,631,
36491,671,2,641,
36493,672,1,657,
36492,683,2,653,
36495,686,1,671,
36494,702,3,657,
36496,708,3,663,
36499,708,1,693,
36497,719,3,674,
36498,723,3,678,
36500,738,2,708,
36501,729,2,699,
36505,725,1,710,
36502,755,3,710,
36503,759,3,714,
36504,775,3,730,
36508,755,1,740,
36506,756,2,726,
36507,781,3,736,
36510,776,2,746,
36511,777,2,747,
36509,791,3,746,
36514,773,1,758,
36512,802,2,772,
36513,797,2,767,
36515,802,2,772,
36516,804,2,774,
36517,803,2,773,
36519,823,2,793,
36518,823,3,778,
36520,825,2,795,
36521,833,2,803,
36524,831,1,816,
36522,844,2,814,
36523,844,2,814,
36526,837,1,822,
36525,855,2,825,
36528,840,1,825,
36527,855,2,825,
36529,858,2,828,
36530,866,2,836,
36532,841,1,826,
36533,844,1,829,
36531,885,3,840,
36534,867,2,837,
36535,872,2,842,
36536,874,2,844,
36538,888,2,858,
36537,901,3,856,
36539,893,2,863,
36540,911,3,866,
36543,904,2,874,
36541,924,3,879,
36542,918,3,873,
36546,920,1,905,
36544,937,3,892,
36545,940,3,895,
36549,942,1,927,
36547,954,3,909,
36548,966,3,921,
36552,975,2,945,
36550,976,3,931,
36551,979,3,934,
36556,985,1,970,
36553,1002,3,957,
36555,997,2,967,
36558,1008,1,993,
36554,1020,3,975,
36557,1016,2,986,
36562,1012,1,997,
36560,1029,2,999,
36561,1032,2,1002,
36559,1033,3,988,
36564,1035,1,1020,
36563,1043,2,1013,
36567,1050,1,1035,
36565,1053,2,1023,
36566,1053,2,1023,
