number of cooks =4,number of max customers per minute = 3,number of Cashiers = 4,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
27209,15,1,0,
27210,15,1,0,
27208,45,3,0,
27211,30,2,0,
27212,36,2,6,
27215,26,1,11,
27213,45,3,0,
27216,37,2,7,
27214,61,3,16,
27219,23,1,8,
27218,30,2,0,
27217,62,3,17,
27221,19,1,4,
27220,47,3,2,
27222,41,2,11,
27223,30,2,0,
27225,23,1,8,
27224,45,3,0,
27227,41,2,11,
27228,44,2,14,
27226,57,3,12,
27229,61,3,16,
27230,62,2,32,
27231,55,2,25,
27234,48,1,33,
27232,73,3,28,
27233,72,2,42,
27235,56,2,26,
27237,39,1,24,
27236,64,3,19,
27238,68,3,23,
27239,52,3,7,
27240,55,3,10,
27241,45,2,15,
27243,28,1,13,
27244,36,2,6,
27242,54,3,9,
27247,15,1,0,
27245,61,3,16,
27246,30,2,0,
27249,30,2,0,
27251,15,1,0,
27248,45,3,0,
27253,21,1,6,
27250,45,3,0,
27252,41,2,11,
27254,30,2,0,
27256,15,1,0,
27255,30,2,0,
27257,45,3,0,
27258,45,3,0,
27259,30,2,0,
27260,45,3,0,
27262,30,2,0,
27261,45,3,0,
27263,30,2,0,
27265,16,1,1,
27264,36,2,6,
27266,30,2,0,
27267,31,2,1,
27268,15,1,0,
27269,15,1,0,
27270,15,1,0,
27271,15,1,0,
27272,30,2,0,
27273,45,3,0,
27274,45,3,0,
27276,15,1,0,
27275,45,3,0,
27278,15,1,0,
27277,45,3,0,
27279,30,2,0,
