number of cooks =14,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
71616,7,1,0,
71620,7,1,0,
71612,14,2,0,
71618,14,2,0,
71625,12,1,5,
71621,14,2,0,
71611,21,3,0,
71626,12,1,5,
71613,21,3,0,
71614,21,3,0,
71617,21,3,0,
71610,28,4,0,
71627,16,1,9,
71630,15,1,8,
71615,28,4,0,
71624,24,3,3,
71619,28,4,0,
71635,16,1,9,
71636,15,1,8,
71622,28,4,0,
71629,24,2,10,
71623,28,4,0,
71632,21,2,7,
71633,21,2,7,
71639,16,1,9,
71634,22,2,8,
71642,16,1,9,
71643,14,1,7,
71631,28,3,7,
71638,21,2,7,
71649,14,1,7,
71628,38,4,10,
71637,32,3,11,
71646,20,2,6,
71653,16,1,9,
71655,19,1,12,
71651,21,2,7,
71652,22,2,8,
71648,29,3,8,
71640,37,4,9,
71641,38,4,10,
71644,34,4,6,
71645,34,4,6,
71661,25,1,18,
71647,35,4,7,
71650,35,4,7,
71659,32,2,18,
71665,26,1,19,
71666,24,1,17,
71656,34,3,13,
71667,27,1,20,
71658,35,3,14,
71654,39,4,11,
71663,33,2,19,
71660,37,3,16,
71657,42,4,14,
71675,31,1,24,
71669,37,2,23,
71670,37,2,23,
71673,37,2,23,
71679,35,1,28,
71668,40,3,19,
71662,48,4,20,
71664,46,4,18,
71681,39,1,32,
71671,44,3,23,
71678,40,2,26,
71682,39,1,32,
71674,45,3,24,
71685,34,1,27,
71680,43,2,29,
71672,50,4,22,
71688,38,1,31,
71692,37,1,30,
71686,43,2,29,
71676,53,4,25,
71677,53,4,25,
71690,43,2,29,
71695,39,1,32,
71683,48,3,27,
71697,41,1,34,
71698,42,1,35,
71689,51,3,30,
71696,47,2,33,
71691,51,3,30,
71701,43,1,36,
71684,56,4,28,
71693,51,3,30,
71694,51,3,30,
71687,57,4,29,
71700,48,2,34,
71702,48,2,34,
71710,42,1,35,
71704,51,2,37,
71706,53,2,39,
71709,51,2,37,
71711,50,2,36,
71699,62,4,34,
71717,43,1,36,
71705,59,3,38,
71703,63,4,35,
71715,47,2,33,
71719,40,1,33,
71716,49,2,35,
71713,57,3,36,
71721,41,1,34,
71707,66,4,38,
71708,66,4,38,
71718,48,2,34,
71726,30,1,23,
71712,63,4,35,
71714,60,4,32,
71728,31,1,24,
71722,47,2,33,
71731,32,1,25,
71732,30,1,23,
71725,42,2,28,
71727,36,2,22,
71733,32,1,25,
71724,51,3,30,
71720,61,4,33,
71734,39,2,25,
71723,59,4,31,
71730,47,3,26,
71739,39,2,25,
71741,40,2,26,
71742,39,2,25,
71729,51,4,23,
71735,46,3,25,
71736,47,3,26,
71737,45,3,24,
71747,41,1,34,
71754,35,1,28,
71738,53,4,25,
71740,52,4,24,
71748,48,2,34,
71744,51,3,30,
71746,52,3,31,
71743,58,4,30,
71758,42,1,35,
71759,40,1,33,
71745,59,4,31,
71751,56,3,35,
71752,54,3,33,
71753,51,3,30,
71762,42,1,35,
71757,49,2,35,
71749,64,4,36,
71750,62,4,34,
71756,55,3,34,
71755,57,4,29,
71770,42,1,35,
71763,50,2,36,
71760,53,3,32,
71764,50,2,36,
71771,44,1,37,
71773,45,1,38,
71775,47,1,40,
71776,44,1,37,
71765,58,3,37,
71778,43,1,36,
71772,50,2,36,
71761,62,4,34,
71766,56,3,35,
71768,56,3,35,
71769,58,3,37,
71774,54,2,40,
71781,48,1,41,
71767,63,4,35,
71784,41,1,34,
71787,40,1,33,
71777,57,3,36,
71783,54,2,40,
71791,44,1,37,
71786,47,2,33,
71793,43,1,36,
71794,44,1,37,
71789,50,2,36,
71782,60,3,39,
71779,64,4,36,
71792,51,2,37,
71788,54,3,33,
71780,66,4,38,
71790,56,3,35,
71785,62,4,34,
71804,46,1,39,
71795,62,3,41,
71802,53,2,39,
71796,63,3,42,
71799,61,3,40,
71801,64,3,43,
71803,61,3,40,
71810,53,1,46,
71797,69,4,41,
71808,55,2,41,
71811,53,1,46,
71798,70,4,42,
71805,61,3,40,
71800,69,4,41,
71806,61,3,40,
71807,63,3,42,
71814,57,1,50,
71813,60,2,46,
71818,64,2,50,
71819,63,2,49,
71809,71,4,43,
71821,64,2,50,
71823,64,2,50,
71815,72,3,51,
71812,74,4,46,
71817,71,3,50,
71820,71,3,50,
71827,63,1,56,
71822,71,3,50,
71830,63,1,56,
71825,69,3,48,
71816,79,4,51,
71838,67,1,60,
71831,71,2,57,
71824,79,4,51,
71832,74,2,60,
71833,74,2,60,
71834,73,2,59,
71826,79,4,51,
71836,73,2,59,
71837,74,2,60,
71840,77,2,63,
71828,83,4,55,
71829,84,4,56,
71842,80,2,66,
71843,80,2,66,
71839,84,3,63,
71850,78,1,71,
71845,82,2,68,
71835,88,4,60,
71846,81,2,67,
71851,75,1,68,
71852,74,1,67,
71848,80,2,66,
71849,81,2,67,
71853,77,1,70,
71844,90,3,69,
71856,77,1,70,
71858,75,1,68,
71859,75,1,68,
71847,89,3,68,
71861,75,1,68,
71841,95,4,67,
71864,76,1,69,
71865,79,1,72,
71857,84,2,70,
71854,91,3,70,
71855,91,3,70,
71872,79,1,72,
71869,84,2,70,
71862,88,3,67,
71860,95,4,67,
71873,87,2,73,
71863,96,4,68,
71871,92,3,71,
71875,90,2,76,
71876,90,2,76,
71877,90,2,76,
71866,100,4,72,
71874,94,3,73,
71867,100,4,72,
71868,99,4,71,
71881,89,1,82,
71870,99,4,71,
71879,91,2,77,
71883,89,1,82,
71889,88,1,81,
71890,88,1,81,
71878,99,3,78,
71891,88,1,81,
71893,85,1,78,
71894,87,1,80,
71884,97,2,83,
71886,95,2,81,
71887,97,2,83,
71892,94,2,80,
71885,105,3,84,
71901,88,1,81,
71880,109,4,81,
71895,98,2,84,
71882,109,4,81,
71906,92,1,85,
71888,110,4,82,
71896,102,3,81,
71897,102,3,81,
71908,93,1,86,
71899,101,3,80,
71910,96,1,89,
