number of cooks =4,number of max customers per minute = 7,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
12704,3,1,0,
12707,9,3,0,
12709,4,1,1,
12705,15,5,0,
12706,15,5,0,
12708,9,3,0,
12712,3,1,0,
12711,6,2,0,
12713,6,2,0,
12710,9,3,0,
12714,9,2,3,
12715,15,5,0,
12719,6,2,0,
12716,18,6,0,
12718,12,4,0,
12717,15,5,0,
12721,13,2,7,
12724,12,2,6,
12720,22,5,7,
12722,26,5,11,
12725,18,2,12,
12726,13,3,4,
12723,24,6,6,
12727,18,3,9,
12728,18,3,9,
12730,25,4,13,
12731,18,3,9,
12729,28,5,13,
12733,23,2,17,
12732,25,5,10,
12734,27,3,18,
12737,12,2,6,
12735,28,6,10,
12739,18,2,12,
12736,23,6,5,
12738,26,6,8,
12741,19,3,10,
12742,22,3,13,
12743,26,3,17,
12740,27,6,9,
12744,27,3,18,
12745,23,3,14,
12748,16,2,10,
12746,27,3,18,
12749,23,3,14,
12750,22,2,16,
12747,35,6,17,
12751,32,5,17,
12752,37,5,22,
12753,37,5,22,
12754,29,4,17,
12755,33,3,24,
12756,38,3,29,
12757,38,3,29,
12758,32,4,20,
12760,32,1,29,
12762,34,1,31,
12761,41,4,29,
12759,42,6,24,
12763,50,6,32,
12766,41,3,32,
12764,42,5,27,
12765,45,4,33,
12767,51,3,42,
12769,45,4,33,
12771,29,2,23,
12770,51,5,36,
12768,59,6,41,
12775,21,3,12,
12772,31,5,16,
12773,35,5,20,
12776,24,1,21,
12777,27,2,21,
12774,30,6,12,
12779,31,5,16,
12778,34,6,16,
12780,33,5,18,
12781,35,5,20,
12783,11,2,5,
12784,3,1,0,
12782,14,4,2,
12785,9,3,0,
12786,18,6,0,
12787,18,6,0,
12789,9,3,0,
12788,18,6,0,
12791,20,4,8,
12790,23,5,8,
12794,15,1,12,
12792,26,6,8,
12793,29,4,17,
12797,11,1,8,
12796,18,4,6,
12799,17,2,11,
12795,20,5,5,
12800,15,2,9,
12803,8,1,5,
12798,29,6,11,
12801,12,4,0,
12802,13,4,1,
12805,12,1,9,
12804,21,4,9,
12806,20,3,11,
12807,16,4,4,
12810,6,1,3,
12808,23,6,5,
12811,15,3,6,
12809,18,5,3,
12815,11,1,8,
12812,21,5,6,
12814,13,2,7,
12816,12,3,3,
12813,22,6,4,
12817,18,5,3,
12818,21,6,3,
12819,21,3,12,
12820,20,3,11,
12821,15,2,9,
12823,27,5,12,
12822,31,6,13,
12824,21,6,3,
12825,21,5,6,
12827,27,2,21,
12829,18,2,12,
12826,33,5,18,
12828,27,5,12,
12831,21,4,9,
12832,23,3,14,
12833,14,2,8,
12830,27,6,9,
12836,17,1,14,
12834,21,3,12,
12837,22,2,16,
12835,26,4,14,
12838,29,4,17,
12839,27,5,12,
12842,27,2,21,
12840,33,6,15,
12841,32,5,17,
12844,33,2,27,
12843,38,4,26,
12847,31,2,25,
12848,33,1,30,
12849,26,1,23,
12845,39,5,24,
12850,31,2,25,
12846,42,6,24,
12852,35,2,29,
12853,36,2,30,
12856,31,1,28,
12854,35,4,23,
12851,44,6,26,
12855,36,3,27,
12857,26,1,23,
12859,12,2,6,
12860,13,2,7,
12858,44,6,26,
12861,18,6,0,
12863,9,3,0,
12862,21,6,3,
12865,11,1,8,
12866,15,2,9,
12864,17,4,5,
12867,16,2,10,
12871,14,2,8,
12868,18,5,3,
12869,22,5,7,
12870,25,6,7,
12872,26,4,14,
12873,21,4,9,
12874,31,6,13,
12877,10,3,1,
12876,12,4,0,
12875,18,6,0,
12878,20,3,11,
12879,11,3,2,
12880,12,3,3,
12882,23,4,11,
12883,14,4,2,
12884,15,4,3,
12881,26,6,8,
12887,9,1,6,
12885,23,3,14,
12888,14,2,8,
12886,23,3,14,
12889,15,2,9,
12893,16,3,7,
12892,25,4,13,
12890,32,6,14,
12891,31,6,13,
12897,25,1,22,
12895,29,4,17,
12894,32,5,17,
12896,35,4,23,
12898,27,3,18,
12899,27,2,21,
12903,21,1,18,
12900,31,3,22,
12901,35,3,26,
12905,25,1,22,
12902,35,3,26,
12907,31,2,25,
12904,34,4,22,
12906,35,3,26,
12911,32,2,26,
12908,33,5,18,
12909,36,4,24,
12913,30,2,24,
12910,39,5,24,
12914,39,4,27,
12915,39,3,30,
12912,50,6,32,
12917,44,2,38,
12916,45,5,30,
12918,45,2,39,
12921,39,1,36,
12920,43,2,37,
12922,34,2,28,
12923,27,2,21,
12919,51,6,33,
12924,33,3,24,
12927,5,1,2,
12925,30,5,15,
12926,20,4,8,
12930,7,2,1,
12928,19,5,4,
12929,23,6,5,
12932,6,2,0,
12931,16,5,1,
12933,12,4,0,
12934,13,3,4,
