number of cooks =20,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
13833,20,2,0,
13835,20,2,0,
13836,20,2,0,
13844,10,1,0,
13832,30,3,0,
13849,10,1,0,
13851,10,1,0,
13834,30,3,0,
13841,20,2,0,
13852,10,1,0,
13837,30,3,0,
13855,11,1,1,
13838,30,3,0,
13848,20,2,0,
13839,30,3,0,
13857,16,1,6,
13840,30,3,0,
13842,30,3,0,
13843,30,3,0,
13861,15,1,5,
13854,21,2,1,
13845,30,3,0,
13846,30,3,0,
13856,23,2,3,
13864,13,1,3,
13847,30,3,0,
13866,13,1,3,
13850,30,3,0,
13867,15,1,5,
13858,27,2,7,
13859,27,2,7,
13853,31,3,1,
13869,16,1,6,
13870,12,1,2,
13863,27,2,7,
13865,22,2,2,
13877,10,1,0,
13878,10,1,0,
13860,35,3,5,
13883,10,1,0,
13862,35,3,5,
13871,20,2,0,
13887,11,1,1,
13876,20,2,0,
13888,12,1,2,
13868,36,3,6,
13881,21,2,1,
13882,21,2,1,
13890,14,1,4,
13892,14,1,4,
13885,20,2,0,
13872,30,3,0,
13893,15,1,5,
13873,30,3,0,
13874,30,3,0,
13875,30,3,0,
13894,18,1,8,
13895,18,1,8,
13879,30,3,0,
13896,16,1,6,
13889,22,2,2,
13880,31,3,1,
13900,17,1,7,
13884,31,3,1,
13901,18,1,8,
13902,17,1,7,
13903,17,1,7,
13904,16,1,6,
13886,30,3,0,
13906,14,1,4,
13907,14,1,4,
13911,15,1,5,
13897,28,2,8,
13898,27,2,7,
13891,34,3,4,
13914,16,1,6,
13915,10,1,0,
13917,10,1,0,
13908,26,2,6,
13909,26,2,6,
13910,26,2,6,
13912,25,2,5,
13899,38,3,8,
13921,10,1,0,
13905,34,3,4,
13924,10,1,0,
13925,10,1,0,
13929,10,1,0,
13930,10,1,0,
13913,34,3,4,
13919,20,2,0,
13920,20,2,0,
13922,20,2,0,
13923,20,2,0,
13935,10,1,0,
13916,31,3,1,
13936,12,1,2,
13937,14,1,4,
13926,20,2,0,
13918,30,3,0,
13928,20,2,0,
13940,15,1,5,
13933,20,2,0,
13946,10,1,0,
13938,23,2,3,
13927,30,3,0,
13947,10,1,0,
13948,10,1,0,
13931,30,3,0,
13932,30,3,0,
13941,25,2,5,
13943,24,2,4,
13934,30,3,0,
13951,10,1,0,
13954,10,1,0,
13939,35,3,5,
13949,20,2,0,
13959,15,1,5,
13942,35,3,5,
13950,20,2,0,
13962,15,1,5,
13944,34,3,4,
13964,13,1,3,
13945,30,3,0,
13955,21,2,1,
13956,24,2,4,
13968,18,1,8,
13960,25,2,5,
13961,24,2,4,
13969,19,1,9,
13971,18,1,8,
13952,30,3,0,
13953,30,3,0,
13966,22,2,2,
13975,14,1,4,
13976,15,1,5,
13957,33,3,3,
13958,34,3,4,
13963,34,3,4,
13978,20,1,10,
13981,19,1,9,
13972,25,2,5,
13965,33,3,3,
13983,18,1,8,
13974,24,2,4,
13967,38,3,8,
13970,38,3,8,
13980,28,2,8,
13982,28,2,8,
13973,33,3,3,
13995,16,1,6,
13987,25,2,5,
13977,37,3,7,
13988,27,2,7,
13979,39,3,9,
13994,27,2,7,
13984,34,3,4,
13985,35,3,5,
13986,35,3,5,
13989,36,3,6,
14004,26,1,16,
13990,39,3,9,
13991,37,3,7,
14006,28,1,18,
13992,38,3,8,
13993,37,3,7,
14001,32,2,12,
13996,37,3,7,
14007,30,1,20,
14011,34,1,24,
13997,42,3,12,
13998,43,3,13,
13999,43,3,13,
14000,43,3,13,
14016,33,1,23,
14002,43,3,13,
14008,39,2,19,
14019,33,1,23,
14020,32,1,22,
14009,40,2,20,
14010,40,2,20,
14003,45,3,15,
14005,46,3,16,
14012,43,2,23,
14021,38,1,28,
14013,44,2,24,
14015,43,2,23,
14025,36,1,26,
14027,36,1,26,
14032,30,1,20,
14035,33,1,23,
14036,33,1,23,
14014,54,3,24,
14017,53,3,23,
14037,33,1,23,
14018,52,3,22,
14026,46,2,26,
14029,45,2,25,
14031,43,2,23,
14033,41,2,21,
14022,54,3,24,
14023,56,3,26,
14024,55,3,25,
14038,43,2,23,
14047,39,1,29,
14028,54,3,24,
14030,54,3,24,
14040,44,2,24,
14034,52,3,22,
14043,49,2,29,
14053,43,1,33,
14044,50,2,30,
14039,53,3,23,
14048,49,2,29,
14056,44,1,34,
14057,43,1,33,
14049,50,2,30,
14058,44,1,34,
14050,48,2,28,
14041,55,3,25,
14042,59,3,29,
14061,48,1,38,
14045,60,3,30,
14046,60,3,30,
14063,48,1,38,
14055,53,2,33,
14065,49,1,39,
14059,52,2,32,
14068,49,1,39,
14051,60,3,30,
14060,56,2,36,
14052,62,3,32,
14054,63,3,33,
14062,59,2,39,
14074,50,1,40,
14064,59,2,39,
14075,49,1,39,
14066,59,2,39,
14070,55,2,35,
14071,55,2,35,
14081,47,1,37,
14084,50,1,40,
14085,50,1,40,
14088,49,1,39,
14067,68,3,38,
14078,57,2,37,
14069,65,3,35,
14089,50,1,40,
14080,57,2,37,
14091,49,1,39,
14082,59,2,39,
14072,68,3,38,
14073,70,3,40,
14076,69,3,39,
14077,65,3,35,
14095,53,1,43,
14079,66,3,36,
14098,52,1,42,
14099,51,1,41,
14102,53,1,43,
14083,68,3,38,
14103,54,1,44,
14093,63,2,43,
14086,70,3,40,
14094,62,2,42,
14087,70,3,40,
14096,62,2,42,
14090,70,3,40,
14109,57,1,47,
14110,56,1,46,
14101,62,2,42,
14092,68,3,38,
14104,65,2,45,
14106,65,2,45,
14097,72,3,42,
14107,67,2,47,
14100,71,3,41,
14119,54,1,44,
14120,55,1,45,
14121,52,1,42,
14112,69,2,49,
14113,70,2,50,
14105,76,3,46,
14115,71,2,51,
14116,67,2,47,
14117,63,2,43,
14108,76,3,46,
14126,57,1,47,
14122,63,2,43,
14123,61,2,41,
14130,55,1,45,
14111,80,3,50,
14133,57,1,47,
14114,80,3,50,
14134,58,1,48,
14125,65,2,45,
14135,58,1,48,
14137,56,1,46,
14118,74,3,44,
14138,55,1,45,
14139,56,1,46,
14129,64,2,44,
14142,54,1,44,
14124,76,3,46,
14144,56,1,46,
14145,56,1,46,
14146,56,1,46,
14147,56,1,46,
14148,55,1,45,
14127,76,3,46,
14150,54,1,44,
14128,76,3,46,
14151,55,1,45,
14131,74,3,44,
14153,51,1,41,
14140,67,2,47,
14141,64,2,44,
14143,64,2,44,
14132,76,3,46,
14156,56,1,46,
14136,78,3,48,
14149,65,2,45,
14158,57,1,47,
14159,56,1,46,
14160,56,1,46,
14162,54,1,44,
14152,65,2,45,
14165,52,1,42,
14166,52,1,42,
14168,51,1,41,
14169,53,1,43,
14155,66,2,46,
14171,54,1,44,
14157,66,2,46,
14172,53,1,43,
14173,50,1,40,
14161,64,2,44,
14175,44,1,34,
14177,43,1,33,
14154,73,3,43,
14170,61,2,41,
14182,38,1,28,
