number of cooks =16,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
1,7,1,0,
6,7,1,0,
10,7,1,0,
13,7,1,0,
3,14,2,0,
15,7,1,0,
7,14,2,0,
19,9,1,2,
12,14,2,0,
2,21,3,0,
20,10,1,3,
14,14,2,0,
4,21,3,0,
5,21,3,0,
22,11,1,4,
16,14,2,0,
8,21,3,0,
9,21,3,0,
11,21,3,0,
25,9,1,2,
26,9,1,2,
23,14,2,0,
36,8,1,1,
27,16,2,2,
17,28,4,0,
18,28,4,0,
32,14,2,0,
33,14,2,0,
24,23,3,2,
21,33,4,5,
31,21,3,0,
28,30,4,2,
37,22,3,1,
29,29,4,1,
30,30,4,2,
41,20,2,6,
38,24,3,3,
34,28,4,0,
35,28,4,0,
39,28,3,7,
40,27,3,6,
49,22,1,15,
47,24,2,10,
43,27,3,6,
44,28,3,7,
46,31,3,10,
42,35,4,7,
60,22,1,15,
53,29,2,15,
54,29,2,15,
45,36,4,8,
48,37,3,16,
50,35,3,14,
63,21,1,14,
66,19,1,12,
55,36,3,15,
56,38,3,17,
62,27,2,13,
69,19,1,12,
51,43,4,15,
52,42,4,14,
59,36,3,15,
57,44,4,16,
68,26,2,12,
58,45,4,17,
73,20,1,13,
70,27,2,13,
65,36,3,15,
61,39,4,11,
71,29,2,15,
67,34,3,13,
79,21,1,14,
74,27,2,13,
76,26,2,12,
77,24,2,10,
64,42,4,14,
83,18,1,11,
84,15,1,8,
72,32,3,11,
88,16,1,9,
89,16,1,9,
90,16,1,9,
87,20,2,6,
75,40,4,12,
78,37,4,9,
92,22,2,8,
99,15,1,8,
80,42,4,14,
81,41,4,13,
82,37,4,9,
96,24,2,10,
91,29,3,8,
98,23,2,9,
93,30,3,9,
85,34,4,6,
86,35,4,7,
95,31,3,10,
103,21,1,14,
106,19,1,12,
97,30,3,9,
108,18,1,11,
110,18,1,11,
94,37,4,9,
105,28,2,14,
115,11,1,4,
102,33,3,12,
118,12,1,5,
100,39,4,11,
101,39,4,11,
121,16,1,9,
111,32,3,11,
119,19,2,5,
104,44,4,16,
107,39,4,11,
109,39,4,11,
117,25,3,4,
126,20,1,13,
127,20,1,13,
112,38,4,10,
123,25,2,11,
113,31,4,3,
114,32,4,4,
124,26,2,12,
116,33,4,5,
125,27,2,13,
131,22,1,15,
122,30,3,9,
136,17,1,10,
120,36,4,8,
130,29,2,15,
140,18,1,11,
134,29,2,15,
137,22,2,8,
144,19,1,12,
145,20,1,13,
147,21,1,14,
142,25,2,11,
133,35,3,14,
128,40,4,12,
138,30,3,9,
129,43,4,15,
132,43,4,15,
135,39,4,11,
154,18,1,11,
148,22,2,8,
149,23,2,9,
150,23,2,9,
157,18,1,11,
139,38,4,10,
151,24,2,10,
146,34,3,13,
141,38,4,10,
143,37,4,9,
152,26,2,12,
155,23,2,9,
160,19,1,12,
165,18,1,11,
