number of cooks =10,number of max customers per minute = 4,number of Cashiers = 3,
Order Number,Time Taken,number of bagels,time finished,
359,15,1,678,
351,29,4,680,
352,37,5,688,
348,43,6,688,
353,34,5,688,
356,33,4,690,
361,25,2,691,
354,40,6,694,
355,38,6,695,
357,35,5,695,
365,15,1,696,
358,34,5,697,
366,16,1,697,
362,33,2,699,
368,17,1,701,
373,9,1,705,
369,19,2,706,
360,46,6,709,
364,37,4,709,
367,26,3,710,
374,16,2,712,
372,20,3,713,
363,42,5,714,
381,11,1,719,
382,9,1,720,
370,29,5,722,
371,30,5,723,
377,26,3,725,
376,28,4,727,
375,35,5,731,
379,26,4,731,
385,19,2,733,
380,25,4,733,
386,20,2,734,
378,33,5,735,
384,25,3,736,
387,24,3,741,
383,39,6,750,
