number of cooks =6,number of max customers per minute = 5,number of Cashiers = 4,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
42888,12,4,0,
42889,12,4,0,
42892,6,2,0,
42893,3,1,0,
42890,15,5,0,
42891,15,5,0,
42894,6,2,0,
42895,9,3,0,
42896,9,3,0,
42898,3,1,0,
42897,6,2,0,
42899,9,3,0,
42901,3,1,0,
42902,9,3,0,
42903,3,1,0,
42900,15,5,0,
42904,6,2,0,
42906,12,4,0,
42907,12,4,0,
42905,18,6,0,
42908,9,3,0,
42909,6,2,0,
42910,15,5,0,
42911,15,5,0,
42912,15,5,0,
42914,9,3,0,
42913,15,5,0,
42915,18,6,0,
42916,15,5,0,
42921,6,2,0,
42917,18,6,0,
42918,12,4,0,
42923,6,2,0,
42924,6,2,0,
42919,18,6,0,
42920,18,6,0,
42922,12,4,0,
42926,3,1,0,
42925,15,4,3,
42929,3,1,0,
42930,6,2,0,
42927,18,6,0,
42928,18,6,0,
42931,6,2,0,
42932,6,2,0,
42933,3,1,0,
42935,3,1,0,
42934,18,6,0,
42936,12,4,0,
42937,12,4,0,
42941,3,1,0,
42938,15,5,0,
42945,3,1,0,
42942,15,5,0,
42944,6,2,0,
42946,7,1,4,
42939,18,6,0,
42940,18,6,0,
42943,12,4,0,
42947,12,4,0,
42948,12,4,0,
42949,3,1,0,
42951,3,1,0,
42952,9,3,0,
42954,3,1,0,
42950,15,5,0,
42955,9,3,0,
42953,18,6,0,
42956,6,2,0,
42958,3,1,0,
42957,15,5,0,
42960,6,2,0,
42959,9,3,0,
42961,6,2,0,
42962,15,5,0,
42963,12,4,0,
42964,15,5,0,
42965,18,6,0,
42967,6,2,0,
42966,18,6,0,
42968,12,4,0,
42970,12,4,0,
42969,15,5,0,
42971,6,2,0,
42975,3,1,0,
42972,9,3,0,
42974,9,3,0,
42973,12,4,0,
42976,3,1,0,
42977,15,5,0,
42979,9,3,0,
42978,15,5,0,
42980,18,6,0,
42981,6,2,0,
42983,6,2,0,
42982,15,5,0,
42985,12,4,0,
42986,15,5,0,
42984,18,6,0,
42988,3,1,0,
42989,3,1,0,
42987,18,6,0,
42991,12,4,0,
42990,15,5,0,
42995,12,4,0,
42992,15,5,0,
42994,15,5,0,
42996,6,2,0,
42993,18,6,0,
42998,9,2,3,
42997,12,4,0,
43002,3,1,0,
43000,6,2,0,
43001,9,3,0,
42999,15,5,0,
43004,3,1,0,
43005,3,1,0,
43007,6,2,0,
43003,18,6,0,
43006,12,4,0,
43008,9,3,0,
43009,9,3,0,
43012,3,1,0,
43013,3,1,0,
43010,15,5,0,
43011,9,3,0,
43017,6,2,0,
43015,15,5,0,
43019,6,2,0,
43020,6,2,0,
43014,18,6,0,
43016,18,6,0,
43018,12,4,0,
43021,15,3,6,
43023,9,3,0,
43025,9,3,0,
43022,15,5,0,
43024,18,6,0,
43026,9,3,0,
43027,12,4,0,
43028,12,4,0,
43030,3,1,0,
43029,15,5,0,
43032,9,3,0,
43031,15,5,0,
43033,15,5,0,
