number of cooks =16,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
5,10,1,0,
6,10,1,0,
7,10,1,0,
8,10,1,0,
9,10,1,0,
11,10,1,0,
12,10,1,0,
13,10,1,0,
1,20,2,0,
2,20,2,0,
3,20,2,0,
15,20,2,0,
22,10,1,0,
4,30,3,0,
16,20,2,0,
17,21,2,1,
23,10,1,0,
18,20,2,0,
24,10,1,0,
10,30,3,0,
14,30,3,0,
19,20,2,0,
20,20,2,0,
32,13,1,3,
34,13,1,3,
25,20,2,0,
26,20,2,0,
21,30,3,0,
39,10,1,0,
29,23,2,3,
30,23,2,3,
31,22,2,2,
33,23,2,3,
40,12,1,2,
35,22,2,2,
43,13,1,3,
27,30,3,0,
36,20,2,0,
28,32,3,2,
38,20,2,0,
45,17,1,7,
46,16,1,6,
47,16,1,6,
50,16,1,6,
41,23,2,3,
42,23,2,3,
37,30,3,0,
58,19,1,9,
49,27,2,7,
51,26,2,6,
60,20,1,10,
62,18,1,8,
53,27,2,7,
63,21,1,11,
55,27,2,7,
44,37,3,7,
57,28,2,8,
48,35,3,5,
59,28,2,8,
61,29,2,9,
52,36,3,6,
68,23,1,13,
69,24,1,14,
54,37,3,7,
56,38,3,8,
64,35,2,15,
75,25,1,15,
66,33,2,13,
77,27,1,17,
79,27,1,17,
71,34,2,14,
72,35,2,15,
81,29,1,19,
65,46,3,16,
83,31,1,21,
67,44,3,14,
76,36,2,16,
85,32,1,22,
80,38,2,18,
70,45,3,15,
89,33,1,23,
73,45,3,15,
74,45,3,15,
78,47,3,17,
94,33,1,23,
86,43,2,23,
87,44,2,24,
88,42,2,22,
97,37,1,27,
99,34,1,24,
82,52,3,22,
90,44,2,24,
84,50,3,20,
92,43,2,23,
93,42,2,22,
101,38,1,28,
95,45,2,25,
102,39,1,29,
106,40,1,30,
107,41,1,31,
91,52,3,22,
109,41,1,31,
100,48,2,28,
96,54,3,24,
103,49,2,29,
98,54,3,24,
116,47,1,37,
117,47,1,37,
110,51,2,31,
111,51,2,31,
119,49,1,39,
113,54,2,34,
114,53,2,33,
104,59,3,29,
105,61,3,31,
108,61,3,31,
118,57,2,37,
126,49,1,39,
127,49,1,39,
112,63,3,33,
130,48,1,38,
122,61,2,41,
115,67,3,37,
124,60,2,40,
133,49,1,39,
