number of cooks =6,number of max customers per minute = 3,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
118651,9,3,0,
118650,12,4,0,
118653,9,3,0,
118652,12,4,0,
118654,12,4,0,
118656,6,2,0,
118660,9,2,3,
118658,12,4,0,
118657,15,5,0,
118655,18,6,0,
118664,7,1,4,
118659,15,5,0,
118663,14,3,5,
118661,19,6,1,
118665,14,3,5,
118667,8,2,2,
118668,9,2,3,
118662,24,6,6,
118669,3,1,0,
118666,17,5,2,
118671,12,4,0,
118673,6,2,0,
118672,15,5,0,
118670,18,6,0,
118676,9,2,3,
118679,7,2,1,
118674,18,6,0,
118675,18,6,0,
118677,16,5,1,
118682,8,1,5,
118683,8,1,5,
118678,20,6,2,
118680,20,6,2,
118687,11,2,5,
118684,19,4,7,
118681,22,6,4,
118688,13,2,7,
118685,20,5,5,
118691,10,1,7,
118693,10,1,7,
118686,25,6,7,
118690,17,3,8,
118696,11,1,8,
118689,22,4,10,
118695,13,2,7,
118699,12,1,9,
118694,24,5,9,
118692,26,6,8,
118703,16,1,13,
118698,22,4,10,
118697,23,5,8,
118701,20,3,11,
118700,25,5,10,
118702,24,3,15,
118704,23,2,17,
118707,19,2,13,
118708,19,1,16,
118706,25,3,16,
118705,33,6,15,
118713,23,3,14,
118711,28,4,16,
118709,33,6,15,
118710,34,6,16,
118715,28,2,22,
118712,30,6,12,
118716,30,3,21,
118717,33,3,24,
118719,31,2,25,
118714,35,5,20,
118721,26,1,23,
118723,30,2,24,
118724,24,2,18,
118725,25,2,19,
118720,38,5,23,
118718,41,6,23,
118727,27,2,21,
118728,24,2,18,
118722,39,5,24,
118730,21,3,12,
118726,35,4,23,
118731,18,2,12,
118729,34,5,19,
118736,10,1,7,
118735,21,3,12,
118732,26,5,11,
118733,27,5,12,
118737,20,3,11,
118734,27,5,12,
118740,13,2,7,
118738,19,4,7,
118741,14,2,8,
118746,16,3,7,
118739,26,6,8,
118742,22,5,7,
118743,23,5,8,
118748,18,1,15,
118744,26,6,8,
118745,24,6,6,
118750,20,2,14,
118749,22,3,13,
118747,33,6,15,
118752,27,4,15,
118755,22,3,13,
118751,31,6,13,
118753,30,5,15,
118754,26,5,11,
118759,17,1,14,
118760,16,1,13,
118756,28,4,16,
118758,27,4,15,
118762,23,3,14,
118757,34,6,16,
