number of cooks =8,number of max customers per minute = 3,number of Cashiers = 1,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
100461,7,1,0,
100463,7,1,0,
100467,7,1,0,
100468,7,1,0,
100466,14,2,0,
100462,28,4,0,
100465,21,3,0,
100470,7,1,0,
100464,28,4,0,
100476,9,1,2,
100472,14,2,0,
100469,21,3,0,
100473,14,2,0,
100474,17,2,3,
100477,14,1,7,
100475,17,2,3,
100471,21,3,0,
100478,15,1,8,
100484,7,1,0,
100482,18,2,4,
100480,29,3,8,
100486,14,2,0,
100483,21,3,0,
100479,36,4,8,
100481,35,4,7,
100488,23,2,9,
100485,28,4,0,
100493,18,1,11,
100494,22,1,15,
100487,33,4,5,
100489,32,3,11,
100490,32,3,11,
100492,32,3,11,
100496,29,2,15,
100491,38,4,10,
100497,33,2,19,
100503,27,1,20,
100504,28,1,21,
100495,44,4,16,
100499,37,3,16,
100500,37,3,16,
100498,47,4,19,
100502,39,3,18,
100505,37,2,23,
100501,46,4,18,
100511,27,1,20,
100509,33,2,19,
100506,44,3,23,
100507,40,3,19,
100508,40,3,19,
100514,29,1,22,
100512,43,3,22,
100510,50,4,22,
100513,43,3,22,
100516,39,2,25,
100518,37,2,23,
100515,42,3,21,
100520,40,1,33,
100517,44,3,23,
100523,38,1,31,
100524,43,2,29,
100519,52,4,24,
100527,44,2,30,
100529,43,1,36,
100525,50,3,29,
100521,61,4,33,
100522,59,4,31,
100528,51,3,30,
100526,58,4,30,
100534,50,1,43,
100531,54,2,40,
100536,49,1,42,
100539,52,1,45,
100532,62,3,41,
100530,64,4,36,
100533,68,4,40,
100542,56,1,49,
100537,67,3,46,
100535,70,4,42,
100540,66,3,45,
100538,74,4,46,
100541,70,3,49,
100548,62,1,55,
100543,74,4,46,
100550,54,1,47,
100544,73,3,52,
100551,54,1,47,
100546,75,3,54,
100547,74,3,53,
100545,80,4,52,
100555,56,1,49,
100549,74,3,53,
100552,65,2,51,
100556,63,2,49,
100553,71,3,50,
100560,62,2,48,
100554,77,4,49,
100558,68,3,47,
100557,75,4,47,
100562,65,2,51,
100561,69,3,48,
100559,74,4,46,
100567,63,1,56,
100563,74,3,53,
100565,70,2,56,
100569,57,1,50,
100564,77,3,56,
100572,58,1,51,
100573,57,1,50,
100570,64,2,50,
100574,57,1,50,
100571,66,2,52,
100566,83,4,55,
100578,59,1,52,
100568,83,4,55,
100576,69,2,55,
100582,61,1,54,
100575,74,3,53,
100580,65,2,51,
100577,75,3,54,
100581,74,3,53,
100579,79,4,51,
100584,70,2,56,
100585,71,2,57,
100588,71,2,57,
100591,68,1,61,
100592,68,1,61,
100583,83,4,55,
100586,79,3,58,
100587,77,3,56,
100589,76,2,62,
100595,61,1,54,
100598,56,1,49,
100590,83,3,62,
100593,70,2,56,
100594,67,2,53,
100596,65,2,51,
100597,64,2,50,
100602,54,1,47,
100600,63,2,49,
100599,72,3,51,
100603,60,2,46,
100605,53,2,39,
100606,53,2,39,
100607,55,2,41,
100601,77,4,49,
100604,66,4,38,
100613,51,1,44,
100608,64,3,43,
100611,59,2,45,
100609,64,3,43,
100618,53,1,46,
100612,65,3,44,
100610,71,4,43,
100617,62,2,48,
100621,55,1,48,
100619,62,2,48,
100614,74,4,46,
100620,66,2,52,
100624,57,1,50,
100625,58,1,51,
100615,75,4,47,
100616,75,4,47,
100626,57,1,50,
100627,52,1,45,
100628,52,1,45,
100623,72,3,51,
100632,50,1,43,
100622,78,4,50,
100636,47,1,40,
100629,65,3,44,
100637,48,1,41,
100631,62,3,41,
100630,70,4,42,
100640,45,1,38,
100635,64,3,43,
100633,67,4,39,
100634,67,4,39,
100645,51,1,44,
100638,63,3,42,
100639,64,3,43,
100644,58,2,44,
100646,57,2,43,
100642,63,3,42,
100641,65,4,37,
100643,63,3,42,
100648,62,2,48,
100652,58,1,51,
100654,55,1,48,
100653,64,2,50,
100650,71,3,50,
100647,77,4,49,
100651,72,3,51,
100655,65,2,51,
100649,77,4,49,
100656,66,2,52,
100661,53,1,46,
100657,73,3,52,
100660,63,2,49,
100665,53,1,46,
100659,79,3,58,
100662,66,3,45,
100658,85,4,57,
100666,61,2,47,
100663,73,4,45,
100670,53,1,46,
100668,60,2,46,
100664,73,4,45,
100675,53,1,46,
100671,60,2,46,
100667,74,4,46,
100674,60,2,46,
100669,77,4,49,
100673,69,3,48,
100676,66,3,45,
100672,73,4,45,
100680,69,2,55,
100683,65,1,58,
100681,72,2,58,
100679,75,3,54,
100677,80,4,52,
100678,79,4,51,
100686,68,1,61,
100687,70,1,63,
100690,71,1,64,
100682,86,4,58,
100684,84,4,56,
100691,77,2,63,
100692,79,2,65,
100688,84,3,63,
100685,89,4,61,
100689,86,3,65,
100695,78,1,71,
100698,78,1,71,
100702,82,1,75,
100693,94,4,66,
100696,91,3,70,
100697,93,3,72,
100694,98,4,70,
100700,93,3,72,
100703,95,2,81,
100699,100,4,72,
100708,91,1,84,
100701,100,4,72,
100706,104,3,83,
100710,102,2,88,
100704,109,4,81,
100705,109,4,81,
100707,111,4,83,
100713,104,1,97,
100711,109,3,88,
100709,117,4,89,
100712,115,4,87,
100716,109,2,95,
100717,112,2,98,
100718,111,2,97,
100714,118,3,97,
100715,117,3,96,
100721,110,1,103,
100719,119,3,98,
100727,106,1,99,
100720,123,3,102,
100725,118,2,104,
100724,125,3,104,
100728,119,2,105,
100722,131,4,103,
100729,119,2,105,
100723,134,4,106,
100730,119,2,105,
100726,128,4,100,
100731,119,2,105,
100735,109,1,102,
