number of cooks =13,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
172249,3,1,0,
172254,6,2,0,
172255,6,2,0,
172256,6,2,0,
172248,12,4,0,
172253,12,4,0,
172250,15,5,0,
172251,15,5,0,
172258,9,3,0,
172265,3,1,0,
172263,6,2,0,
172259,9,3,0,
172267,4,1,1,
172252,18,6,0,
172257,15,5,0,
172271,4,1,1,
172260,12,4,0,
172268,8,2,2,
172270,7,2,1,
172266,10,3,1,
172264,12,4,0,
172261,15,5,0,
172276,4,1,1,
172277,4,1,1,
172273,7,2,1,
172274,6,2,0,
172269,10,3,1,
172262,18,6,0,
172280,6,2,0,
172282,6,2,0,
172272,15,5,0,
172281,9,3,0,
172289,3,1,0,
172278,17,5,2,
172275,19,6,1,
172288,6,2,0,
172279,16,5,1,
172286,9,3,0,
172297,4,1,1,
172287,12,4,0,
172292,11,3,2,
172285,15,5,0,
172283,18,6,0,
172284,18,6,0,
172291,13,4,1,
172300,5,1,2,
172290,15,5,0,
172295,11,3,2,
172293,15,5,0,
172298,12,4,0,
172308,5,1,2,
172299,12,3,3,
172294,18,5,3,
172301,13,3,4,
172303,13,3,4,
172296,19,6,1,
172311,10,2,4,
172307,15,4,3,
172313,11,2,5,
172304,18,5,3,
172310,14,3,5,
172305,18,5,3,
172306,17,5,2,
172302,21,6,3,
172316,12,2,6,
172312,18,5,3,
172321,15,2,9,
172322,14,2,8,
172309,22,6,4,
172318,18,3,9,
172317,20,4,8,
172326,8,1,5,
172314,23,6,5,
172319,21,4,9,
172315,24,6,6,
172320,21,4,9,
172331,6,1,3,
172332,6,1,3,
172324,19,4,7,
172325,17,4,5,
172334,3,1,0,
172323,23,5,8,
172327,16,4,4,
172328,16,4,4,
172330,16,4,4,
172333,9,3,0,
172335,9,3,0,
172329,19,5,4,
172337,12,4,0,
172343,6,2,0,
172345,3,1,0,
172340,9,3,0,
172338,12,4,0,
172339,12,4,0,
172336,18,6,0,
172348,3,1,0,
172344,9,3,0,
172342,15,5,0,
172341,18,6,0,
172351,3,1,0,
172352,3,1,0,
172346,12,4,0,
172347,15,5,0,
172350,12,4,0,
172357,6,2,0,
172349,15,5,0,
172353,12,4,0,
172356,12,4,0,
172359,9,3,0,
172354,15,5,0,
172355,15,5,0,
172364,6,2,0,
172365,6,2,0,
172358,15,5,0,
172360,15,5,0,
172368,6,2,0,
172362,15,5,0,
172363,12,4,0,
172367,9,3,0,
172361,18,6,0,
172366,12,4,0,
172369,12,4,0,
172371,6,2,0,
172372,6,2,0,
172374,3,1,0,
172376,3,1,0,
172370,15,5,0,
172378,3,1,0,
172377,6,2,0,
172382,3,1,0,
172373,15,5,0,
172380,6,2,0,
172384,3,1,0,
172375,15,5,0,
172383,6,2,0,
172381,9,3,0,
172386,6,2,0,
