number of cooks =15,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
8,7,1,0,
9,7,1,0,
1,14,2,0,
2,14,2,0,
3,14,2,0,
5,14,2,0,
10,14,2,0,
11,14,2,0,
12,14,2,0,
14,14,2,0,
4,21,3,0,
6,21,3,0,
17,15,2,1,
22,11,1,4,
18,17,2,3,
24,9,1,2,
20,15,2,1,
15,21,3,0,
21,16,2,2,
7,28,4,0,
16,24,3,3,
13,28,4,0,
31,14,1,7,
25,17,2,3,
19,30,4,2,
37,16,1,9,
30,21,2,7,
39,15,1,8,
27,26,3,5,
23,32,4,4,
42,20,1,13,
26,31,4,3,
35,28,3,7,
36,30,3,9,
28,34,4,6,
29,35,4,7,
41,26,2,12,
32,36,4,8,
33,36,4,8,
34,36,4,8,
48,24,1,17,
50,25,1,18,
45,28,2,14,
40,34,3,13,
38,36,4,8,
52,26,1,19,
54,27,1,20,
44,36,3,15,
51,32,2,18,
58,24,1,17,
59,25,1,18,
46,38,3,17,
61,24,1,17,
43,41,4,13,
55,34,2,20,
49,39,3,18,
57,35,2,21,
47,43,4,15,
56,40,3,19,
72,27,1,20,
64,35,2,21,
65,33,2,19,
60,38,3,17,
53,48,4,20,
68,33,2,19,
62,39,3,18,
63,39,3,18,
74,30,1,23,
77,31,1,24,
67,41,3,20,
82,33,1,26,
71,41,3,20,
66,48,4,20,
78,39,2,25,
69,45,4,17,
80,39,2,25,
70,47,4,19,
83,40,2,26,
75,46,3,25,
76,46,3,25,
88,32,1,25,
73,48,4,20,
85,39,2,25,
81,46,3,25,
92,32,1,25,
86,42,2,28,
84,47,3,26,
79,53,4,25,
97,35,1,28,
90,38,2,24,
100,35,1,28,
95,42,2,28,
91,46,3,25,
105,26,1,19,
99,41,2,27,
106,27,1,20,
101,41,2,27,
93,48,3,27,
87,51,4,23,
96,49,3,28,
107,30,1,23,
89,53,4,25,
103,44,2,30,
108,31,1,24,
109,30,1,23,
113,31,1,24,
114,29,1,22,
94,56,4,28,
98,56,4,28,
116,30,1,23,
117,29,1,22,
121,31,1,24,
102,58,4,30,
115,37,2,23,
104,53,4,25,
120,35,2,21,
110,45,3,24,
111,46,3,25,
123,38,2,24,
130,35,1,28,
125,39,2,25,
119,44,3,23,
112,53,4,25,
133,38,1,31,
122,44,3,23,
127,43,2,29,
134,39,1,32,
124,46,3,25,
118,50,4,22,
126,45,3,24,
132,43,2,29,
139,38,1,31,
141,38,1,31,
129,51,3,30,
143,39,1,32,
137,43,2,29,
146,38,1,31,
138,45,2,31,
128,57,4,29,
142,46,2,32,
136,51,3,30,
145,45,2,31,
131,58,4,30,
147,48,2,34,
148,47,2,33,
144,52,3,31,
135,62,4,34,
155,34,1,27,
156,35,1,28,
157,34,1,27,
152,39,2,25,
153,40,2,26,
140,59,4,31,
154,41,2,27,
149,55,3,34,
160,37,1,30,
150,55,3,34,
163,37,1,30,
151,47,3,26,
158,41,2,27,
166,37,1,30,
159,45,2,31,
162,44,2,30,
172,30,1,23,
173,28,1,21,
169,41,2,27,
161,52,3,31,
179,31,1,24,
175,35,2,21,
167,48,3,27,
168,48,3,27,
171,47,3,26,
181,35,1,28,
178,38,2,24,
164,58,4,30,
165,56,4,28,
180,38,2,24,
174,43,3,22,
184,34,1,27,
170,56,4,28,
190,37,1,30,
191,36,1,29,
183,41,2,27,
194,36,1,29,
176,50,4,22,
185,42,2,28,
177,50,4,22,
182,48,3,27,
189,44,2,30,
192,44,2,30,
196,41,1,34,
197,41,1,34,
199,42,1,35,
188,51,3,30,
186,56,4,28,
187,58,4,30,
209,34,1,27,
204,45,2,31,
193,57,4,29,
206,41,2,27,
200,52,3,31,
201,51,3,30,
195,61,4,33,
198,62,4,34,
205,48,3,27,
208,46,3,25,
202,57,4,29,
217,39,1,32,
218,41,1,34,
203,59,4,31,
212,46,2,32,
207,51,4,23,
210,52,3,31,
222,41,1,34,
211,52,3,31,
226,41,1,34,
227,41,1,34,
221,49,2,35,
223,48,2,34,
225,48,2,34,
213,59,4,31,
214,59,4,31,
219,57,3,36,
220,57,3,36,
215,59,4,31,
216,60,4,32,
234,46,1,39,
230,51,2,37,
233,52,2,38,
229,57,3,36,
224,62,4,34,
242,47,1,40,
236,54,2,40,
231,59,3,38,
238,54,2,40,
228,64,4,36,
241,52,2,38,
235,61,3,40,
247,52,1,45,
243,54,2,40,
237,61,3,40,
240,58,3,37,
232,66,4,38,
244,59,2,45,
245,59,2,45,
246,60,2,46,
239,68,4,40,
253,59,2,45,
254,59,2,45,
255,57,2,43,
248,66,3,45,
249,64,3,43,
262,47,1,40,
258,51,2,37,
251,64,3,43,
259,54,2,40,
261,54,2,40,
256,59,3,38,
250,72,4,44,
267,49,1,42,
252,71,4,43,
270,50,1,43,
271,51,1,44,
264,59,2,45,
257,67,4,39,
273,53,1,46,
268,57,2,43,
275,50,1,43,
260,67,4,39,
266,64,3,43,
279,52,1,45,
282,52,1,45,
283,52,1,45,
272,67,3,46,
263,74,4,46,
265,70,4,42,
285,52,1,45,
269,70,4,42,
276,64,3,43,
277,65,3,44,
288,49,1,42,
284,61,2,47,
278,64,3,43,
289,53,1,46,
274,71,4,43,
281,66,3,45,
291,59,2,45,
280,73,4,45,
301,50,1,43,
287,64,3,43,
295,57,2,43,
296,55,2,41,
290,66,3,45,
286,69,4,41,
300,58,2,44,
303,56,1,49,
304,56,1,49,
294,65,3,44,
307,57,1,50,
297,64,3,43,
292,73,4,45,
309,55,1,48,
293,73,4,45,
312,55,1,48,
314,55,1,48,
298,70,4,42,
299,71,4,43,
302,69,3,48,
306,71,3,50,
308,70,3,49,
316,62,2,48,
311,69,3,48,
305,78,4,50,
313,69,3,48,
324,60,1,53,
