number of cooks =10,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
1,7,1,0,
4,7,1,0,
7,7,1,0,
11,7,1,0,
2,21,3,0,
8,14,2,0,
5,21,3,0,
10,14,2,0,
3,28,4,0,
6,28,4,0,
12,21,3,0,
13,26,3,5,
9,28,4,0,
16,31,3,10,
23,17,1,10,
14,34,4,6,
15,36,4,8,
19,34,3,13,
17,39,4,11,
18,38,4,10,
20,31,3,10,
25,23,1,16,
21,29,3,8,
26,24,1,17,
24,31,2,17,
29,26,1,19,
22,42,4,14,
32,30,2,16,
34,27,2,13,
35,30,2,16,
30,38,3,17,
36,31,2,17,
31,37,3,16,
27,46,4,18,
28,48,4,20,
37,36,2,22,
40,35,1,28,
33,40,4,12,
39,38,2,24,
41,41,2,27,
43,40,2,26,
38,44,3,23,
44,42,2,28,
46,42,2,28,
42,49,3,28,
45,49,3,28,
47,50,3,29,
51,45,2,31,
52,45,2,31,
50,53,3,32,
48,56,4,28,
55,49,2,35,
49,57,4,29,
57,53,2,39,
62,51,1,44,
53,59,4,31,
54,63,4,35,
59,60,3,39,
56,67,4,39,
61,65,3,44,
58,68,4,40,
63,65,3,44,
66,63,2,49,
60,72,4,44,
65,70,3,49,
68,68,2,54,
69,69,2,55,
67,74,3,53,
64,76,4,48,
71,72,2,58,
77,69,1,62,
76,76,2,62,
81,75,1,68,
70,86,4,58,
79,78,2,64,
72,87,4,59,
73,85,4,57,
82,78,1,71,
78,85,3,64,
74,89,4,61,
75,90,4,62,
85,80,1,73,
89,83,1,76,
80,92,4,64,
86,87,2,73,
92,83,1,76,
88,87,2,73,
91,91,2,77,
94,88,1,81,
87,95,3,74,
95,88,1,81,
97,88,1,81,
83,100,4,72,
84,101,4,73,
93,94,2,80,
99,93,1,86,
90,104,4,76,
104,93,1,86,
103,102,2,88,
105,101,2,87,
98,108,3,87,
96,109,4,81,
106,97,2,83,
102,108,3,87,
107,97,2,83,
100,115,4,87,
101,114,4,86,
108,110,4,82,
110,110,3,89,
111,110,3,89,
112,110,3,89,
113,110,3,89,
109,116,4,88,
115,113,3,92,
116,116,3,95,
122,110,1,103,
114,118,4,90,
118,120,2,106,
117,122,4,94,
120,117,2,103,
125,116,1,109,
119,127,3,106,
129,121,1,114,
126,123,2,109,
124,127,3,106,
128,126,2,112,
132,125,1,118,
121,131,4,103,
127,130,3,109,
123,134,4,106,
136,124,1,117,
137,121,1,114,
138,121,1,114,
131,134,3,113,
130,141,4,113,
139,129,2,115,
141,131,2,117,
133,147,4,119,
143,131,2,117,
134,143,4,115,
140,135,3,114,
135,144,4,116,
142,138,3,117,
144,138,3,117,
145,144,3,123,
151,143,2,129,
148,150,3,129,
155,140,1,133,
150,149,3,128,
146,152,4,124,
156,144,1,137,
147,157,4,129,
153,153,3,132,
149,155,4,127,
152,157,4,129,
154,160,4,132,
158,154,2,140,
159,154,2,140,
160,154,2,140,
161,156,2,142,
162,158,2,144,
157,161,3,140,
167,154,1,147,
168,155,1,148,
165,158,2,144,
166,162,2,148,
173,159,1,152,
169,161,2,147,
174,158,1,151,
175,160,1,153,
163,172,4,144,
164,170,4,142,
171,165,2,151,
177,164,1,157,
179,164,1,157,
170,171,3,150,
172,172,3,151,
186,164,1,157,
180,172,2,158,
183,171,2,157,
176,177,3,156,
178,177,3,156,
184,170,2,156,
185,171,2,157,
181,181,3,160,
190,169,1,162,
182,185,4,157,
187,180,3,159,
192,177,2,163,
188,185,3,164,
189,184,3,163,
195,180,2,166,
191,184,3,163,
198,180,1,173,
194,185,3,164,
197,186,2,172,
193,191,4,163,
196,195,4,167,
199,195,3,174,
205,185,2,171,
200,195,3,174,
203,190,3,169,
204,190,3,169,
208,185,1,178,
201,200,4,172,
202,202,4,174,
206,192,3,171,
211,194,2,180,
216,193,1,186,
212,196,2,182,
207,202,4,174,
209,200,3,179,
215,199,2,185,
213,203,3,182,
210,207,4,179,
214,209,4,181,
220,207,2,193,
221,208,2,194,
222,205,2,191,
217,214,4,186,
219,214,3,193,
226,205,1,198,
218,219,4,191,
227,212,2,198,
225,215,3,194,
223,220,4,192,
224,221,4,193,
229,219,3,198,
233,218,2,204,
237,219,1,212,
232,221,3,200,
234,221,2,207,
228,226,4,198,
230,229,4,201,
231,230,4,202,
243,222,1,215,
241,230,2,216,
238,234,3,213,
246,228,1,221,
235,237,4,209,
236,237,4,209,
239,236,3,215,
244,233,2,219,
245,232,2,218,
240,239,3,218,
242,238,3,217,
252,230,1,223,
254,230,1,223,
249,239,2,225,
250,237,2,223,
258,234,1,227,
255,237,2,223,
247,246,3,225,
253,243,3,222,
248,254,4,226,
259,243,2,229,
251,252,4,224,
261,247,2,233,
256,252,4,224,
260,250,3,229,
266,247,1,240,
267,244,1,237,
257,253,4,225,
262,254,3,233,
264,257,3,236,
263,259,4,231,
265,259,3,238,
273,254,2,240,
274,255,2,241,
277,252,1,245,
271,261,3,240,
272,260,3,239,
278,256,1,249,
275,260,2,246,
268,270,4,242,
269,266,4,238,
270,268,4,240,
283,260,1,253,
276,268,3,247,
280,265,2,251,
279,271,3,250,
287,267,2,253,
281,273,3,252,
284,274,3,253,
288,270,2,256,
285,275,3,254,
286,272,3,251,
282,280,4,252,
293,273,1,266,
295,273,1,266,
297,273,1,266,
291,278,2,264,
292,279,2,265,
299,276,1,269,
294,281,2,267,
289,285,4,257,
300,277,1,270,
290,286,4,258,
303,278,1,271,
304,279,1,272,
305,280,1,273,
302,283,2,269,
298,290,3,269,
296,295,4,267,
306,287,2,273,
312,284,1,277,
308,287,2,273,
309,289,2,275,
301,299,4,271,
307,295,3,274,
316,287,1,280,
313,292,2,278,
320,289,1,282,
310,303,4,275,
311,304,4,276,
315,299,3,278,
318,301,3,280,
314,308,4,280,
317,306,4,278,
321,305,3,284,
322,305,3,284,
327,302,1,295,
319,311,4,283,
323,309,3,288,
330,305,1,298,
324,313,3,292,
325,319,4,291,
326,320,4,292,
333,316,2,302,
334,316,2,302,
335,318,2,304,
328,325,4,297,
329,327,4,299,
331,327,4,299,
332,327,4,299,
342,321,1,314,
341,325,2,311,
336,333,4,305,
338,332,3,311,
339,331,3,310,
340,332,3,311,
347,329,1,322,
337,338,4,310,
349,330,1,323,
343,335,3,314,
348,335,2,321,
344,344,4,316,
345,344,4,316,
353,337,2,323,
346,347,4,319,
352,344,3,323,
358,339,1,332,
350,348,4,320,
354,346,3,325,
351,349,4,321,
357,346,2,332,
356,349,3,328,
355,352,4,324,
364,344,1,337,
361,352,2,338,
360,354,3,333,
365,350,2,336,
366,352,2,338,
367,353,2,339,
359,362,4,334,
368,353,2,339,
369,353,2,339,
362,364,4,336,
374,351,1,344,
363,365,4,337,
372,355,2,341,
379,354,1,347,
380,353,1,346,
381,355,1,348,
370,370,4,342,
375,364,3,343,
371,372,4,344,
383,359,1,352,
377,366,3,345,
373,371,4,343,
386,362,1,355,
387,363,1,356,
376,374,4,346,
384,367,2,353,
378,373,4,345,
382,372,3,351,
388,371,2,357,
389,370,2,356,
390,370,2,356,
385,383,4,355,
395,374,2,360,
392,379,3,358,
396,375,2,361,
394,380,3,359,
401,373,1,366,
391,385,4,357,
393,386,4,358,
397,380,3,359,
398,378,3,357,
400,380,2,366,
402,382,2,368,
403,382,2,368,
407,379,1,372,
409,379,1,372,
404,383,2,369,
399,387,4,359,
408,387,2,373,
415,383,1,376,
416,382,1,375,
410,388,2,374,
406,392,3,371,
413,390,2,376,
417,387,1,380,
405,399,4,371,
411,398,3,377,
412,397,3,376,
414,396,3,375,
419,394,2,380,
420,395,2,381,
421,394,2,380,
423,396,2,382,
427,388,1,381,
418,403,3,382,
428,388,1,381,
430,389,1,382,
422,402,3,381,
431,392,1,385,
436,390,1,383,
432,399,2,385,
433,398,2,384,
424,408,4,380,
429,403,3,382,
425,409,4,381,
426,409,4,381,
440,397,1,390,
434,404,3,383,
443,397,1,390,
441,403,2,389,
435,413,4,385,
438,410,3,389,
437,411,4,383,
448,397,1,390,
446,402,2,388,
449,398,1,391,
447,400,2,386,
439,417,4,389,
451,401,1,394,
445,410,3,389,
442,418,4,390,
444,412,4,384,
456,403,1,396,
452,409,2,395,
453,408,2,394,
460,404,1,397,
454,408,2,394,
458,411,2,397,
455,416,3,395,
464,410,1,403,
450,421,4,393,
457,417,3,396,
461,415,2,401,
459,417,3,396,
466,414,1,407,
463,415,2,401,
470,417,1,410,
473,416,1,409,
468,423,2,409,
469,422,2,408,
475,419,1,412,
462,430,4,402,
474,423,2,409,
465,430,4,402,
471,429,3,408,
467,437,4,409,
472,437,4,409,
483,421,1,414,
480,426,2,412,
476,435,3,414,
481,425,2,411,
479,439,3,418,
488,428,1,421,
482,433,3,412,
489,428,1,421,
477,443,4,415,
478,444,4,416,
487,435,2,421,
484,439,3,418,
491,429,1,422,
493,427,1,420,
495,428,1,421,
486,441,3,420,
500,431,1,424,
485,449,4,421,
490,445,3,424,
501,433,1,426,
497,440,2,426,
503,439,1,432,
496,445,3,424,
492,448,4,420,
498,446,3,425,
494,448,4,420,
499,446,3,425,
505,446,2,432,
508,440,1,433,
509,441,1,434,
506,443,2,429,
511,441,1,434,
502,452,3,431,
507,447,2,433,
515,438,1,431,
518,439,1,432,
504,460,4,432,
514,450,2,436,
512,453,3,432,
516,446,2,432,
522,440,1,433,
513,458,3,437,
510,462,4,434,
521,453,2,439,
527,442,1,435,
523,449,2,435,
517,459,4,431,
520,457,3,436,
525,449,2,435,
519,462,4,434,
524,455,3,434,
533,446,1,439,
529,453,2,439,
528,456,3,435,
531,455,2,441,
537,452,1,445,
526,463,4,435,
534,461,3,440,
538,458,2,444,
542,455,1,448,
530,468,4,440,
532,469,4,441,
535,470,4,442,
539,466,3,445,
536,472,4,444,
545,466,2,452,
540,473,4,445,
550,463,1,456,
541,474,4,446,
543,480,4,452,
548,475,3,454,
544,479,4,451,
546,479,4,451,
551,475,2,461,
549,478,3,457,
547,481,4,453,
553,476,2,462,
557,475,1,468,
559,475,1,468,
552,483,3,462,
560,476,1,469,
554,481,3,460,
562,476,1,469,
564,479,1,472,
