number of cooks =10,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
128823,3,1,0,
128827,3,1,0,
128824,12,4,0,
128825,12,4,0,
128828,6,2,0,
128822,15,5,0,
128830,3,1,0,
128831,3,1,0,
128833,3,1,0,
128834,3,1,0,
128826,15,5,0,
128832,6,2,0,
128835,6,2,0,
128829,12,4,0,
128838,3,1,0,
128837,15,5,0,
128843,6,2,0,
128845,6,2,0,
128836,18,6,0,
128848,6,1,3,
128839,18,6,0,
128844,12,4,0,
128841,15,5,0,
128842,15,5,0,
128840,18,6,0,
128850,11,3,2,
128851,13,3,4,
128855,9,2,3,
128846,18,6,0,
128852,14,3,5,
128847,22,6,4,
128856,13,3,4,
128859,10,1,7,
128849,22,6,4,
128853,18,5,3,
128861,13,2,7,
128857,18,4,6,
128860,16,3,7,
128863,13,2,7,
128854,22,6,4,
128858,20,4,8,
128862,18,3,9,
128868,10,1,7,
128869,10,1,7,
128867,13,2,7,
128864,15,4,3,
128865,16,4,4,
128873,9,2,3,
128870,13,3,4,
128874,8,2,2,
128877,9,2,3,
128866,21,5,6,
128880,7,1,4,
128872,13,4,1,
128876,12,3,3,
128875,13,4,1,
128878,12,3,3,
128871,23,6,5,
128882,14,3,5,
128888,9,2,3,
128879,21,5,6,
128881,22,6,4,
128883,18,5,3,
128885,18,5,3,
128887,17,5,2,
128889,17,4,5,
128884,22,6,4,
128890,16,3,7,
128894,14,1,11,
128886,21,6,3,
128891,17,3,8,
128892,18,3,9,
128895,10,2,4,
128893,20,3,11,
128896,12,2,6,
128897,11,2,5,
128907,8,1,5,
128898,17,4,5,
128900,15,4,3,
128904,16,4,4,
128902,17,5,2,
128899,21,6,3,
128906,17,4,5,
128901,21,6,3,
128912,10,1,7,
128903,22,6,4,
128914,11,1,8,
128905,23,6,5,
128909,18,4,6,
128916,14,2,8,
128913,17,3,8,
128908,22,6,4,
128911,20,4,8,
128918,12,2,6,
128919,12,2,6,
128910,22,6,4,
128923,11,1,8,
128917,21,4,9,
128915,23,5,8,
128925,13,2,7,
128922,16,3,7,
128926,13,2,7,
128920,20,5,5,
128930,15,2,9,
128933,13,1,10,
128927,19,4,7,
128928,20,4,8,
128936,14,1,11,
128921,25,6,7,
128929,20,4,8,
128924,25,6,7,
128931,21,4,9,
128941,16,1,13,
128935,21,3,12,
128937,22,3,13,
128932,29,6,11,
128944,21,2,15,
128946,19,1,16,
128934,29,6,11,
128947,22,1,19,
128945,25,3,16,
128942,29,5,14,
128938,32,6,14,
128939,32,6,14,
128940,31,6,13,
128943,32,6,14,
128952,26,2,20,
128956,25,2,19,
128948,34,5,19,
128954,30,3,21,
128957,26,2,20,
128950,35,5,20,
128951,35,5,20,
128949,36,6,18,
128960,25,1,22,
128958,28,3,19,
128959,26,2,20,
128953,37,5,22,
128962,27,2,21,
128955,39,6,21,
128971,27,1,24,
128967,30,3,21,
128963,34,4,22,
128968,30,3,21,
128970,29,2,23,
128965,33,4,21,
128969,33,4,21,
128976,29,1,26,
128966,36,5,21,
128961,40,6,22,
128977,29,1,26,
128964,39,6,21,
128980,29,1,26,
128975,35,3,26,
128983,27,1,24,
128978,35,2,29,
128981,33,3,24,
128986,30,1,27,
128982,33,3,24,
128973,42,5,27,
128985,32,2,26,
128979,40,4,28,
128972,46,6,28,
128974,45,6,27,
128989,36,3,27,
128994,31,2,25,
128987,39,5,24,
128993,34,3,25,
128984,44,6,26,
128997,34,1,31,
128988,43,5,28,
128998,35,1,32,
128990,41,5,26,
128999,35,1,32,
128991,40,5,25,
128996,37,2,31,
129001,35,1,32,
129000,37,2,31,
128992,44,6,26,
128995,44,6,26,
129010,37,1,34,
129012,38,1,35,
129011,39,2,33,
129003,48,5,33,
129004,47,5,32,
129007,47,5,32,
129013,41,1,38,
129008,47,5,32,
129002,51,6,33,
129005,50,6,32,
129009,49,5,34,
129006,50,6,32,
129019,44,2,38,
129023,42,2,36,
129014,51,4,39,
129017,48,3,39,
129018,46,3,37,
129022,47,3,38,
129024,47,2,41,
129028,37,2,31,
129015,58,6,40,
129016,58,6,40,
129029,40,2,34,
129025,51,3,42,
129020,56,6,38,
129021,55,6,37,
129026,49,4,37,
129031,42,2,36,
129027,52,5,37,
129034,43,2,37,
129033,45,3,36,
129038,44,2,38,
129030,50,5,35,
129037,45,3,36,
129032,52,5,37,
129035,52,5,37,
129036,55,6,37,
129039,53,5,38,
129044,46,3,37,
129045,46,3,37,
129040,55,5,40,
129041,51,5,36,
129043,52,5,37,
129042,53,6,35,
129049,49,2,43,
129047,53,4,41,
129048,52,3,43,
129046,54,5,39,
129054,45,2,39,
129056,42,2,36,
129053,52,4,40,
129060,43,1,40,
129050,57,5,42,
129052,57,5,42,
129058,47,3,38,
129051,60,6,42,
129063,45,1,42,
129057,50,4,38,
129065,45,1,42,
129062,48,2,42,
129067,44,1,41,
129069,45,1,42,
129055,56,6,38,
129059,55,6,37,
129071,44,2,38,
129061,55,5,40,
129072,41,2,35,
129077,38,1,35,
129073,42,3,33,
129064,60,6,42,
129070,56,5,41,
129078,42,2,36,
129066,59,6,41,
129080,40,1,37,
129068,59,6,41,
129084,41,1,38,
129086,40,1,37,
129074,51,6,33,
129076,51,5,36,
129075,53,6,35,
129083,47,3,38,
129089,42,1,39,
129079,52,5,37,
129082,50,4,38,
129092,43,1,40,
129087,47,3,38,
129085,49,4,37,
129095,45,1,42,
129081,55,6,37,
129091,50,3,41,
129090,51,4,39,
129100,49,2,43,
129102,49,1,46,
129088,57,6,39,
129101,54,3,45,
129093,59,6,41,
129096,57,5,42,
129097,57,5,42,
129094,59,6,41,
129099,58,5,43,
129098,60,6,42,
129103,52,3,43,
129106,47,2,41,
129104,56,4,44,
129113,45,2,39,
129110,47,3,38,
129105,56,6,38,
129111,52,4,40,
129107,56,5,41,
129108,55,5,40,
129109,59,6,41,
129112,54,5,39,
129120,47,1,44,
129117,51,3,42,
129114,56,5,41,
129118,52,3,43,
129124,46,1,43,
129121,50,3,41,
129115,59,6,41,
129123,50,2,44,
129116,57,5,42,
129122,57,4,45,
129126,53,3,44,
129129,51,2,45,
129130,52,2,46,
129131,51,2,45,
129128,53,3,44,
129125,54,4,42,
129119,63,6,45,
129133,47,1,44,
129136,47,1,44,
129137,46,1,43,
129135,49,2,43,
129141,44,1,41,
129139,45,2,39,
129127,62,6,44,
129132,59,5,44,
129143,50,3,41,
129134,59,5,44,
129138,56,5,41,
129145,52,3,43,
129140,55,5,40,
129150,45,1,42,
129142,57,5,42,
129152,45,1,42,
129147,54,4,42,
129148,50,4,38,
129144,58,5,43,
129151,47,2,41,
129146,55,5,40,
129156,46,1,43,
129154,48,2,42,
129161,45,1,42,
129158,49,2,43,
129159,49,2,43,
129155,52,3,43,
129149,58,5,43,
129153,53,4,41,
129157,56,4,44,
129170,47,1,44,
129168,49,3,40,
129165,54,4,42,
129163,56,5,41,
129160,60,6,42,
129166,52,4,40,
129162,58,6,40,
129171,54,2,48,
129164,59,6,41,
129167,59,6,41,
129169,58,6,40,
129179,48,1,45,
129174,57,3,48,
129175,60,4,48,
129180,52,2,46,
129181,52,2,46,
129183,51,1,48,
129177,59,4,47,
129176,62,5,47,
129172,65,6,47,
129173,67,6,49,
129184,56,2,50,
129178,67,6,49,
129182,61,5,46,
129190,56,3,47,
129192,53,2,47,
129185,64,5,49,
129193,56,2,50,
129187,60,5,45,
129188,61,5,46,
129191,60,4,48,
129186,65,6,47,
129189,64,6,46,
129200,59,2,53,
129197,64,3,55,
129194,68,6,50,
129205,60,1,57,
129201,66,4,54,
129195,71,6,53,
129196,70,6,52,
129204,65,3,56,
129203,66,4,54,
129198,71,6,53,
129202,67,5,52,
129199,71,6,53,
129211,64,1,61,
129208,67,2,61,
129209,67,2,61,
129213,64,1,61,
129210,67,2,61,
129212,67,2,61,
129217,64,1,61,
129207,72,4,60,
129214,70,3,61,
129206,75,5,60,
129222,64,1,61,
129220,66,2,60,
129215,72,4,60,
129218,71,3,62,
129224,65,1,62,
129223,66,2,60,
129216,75,4,63,
129221,69,3,60,
129219,72,4,60,
129225,67,2,61,
129229,66,2,60,
129234,62,1,59,
129230,65,2,59,
129227,68,3,59,
129232,66,2,60,
129226,74,4,62,
129231,68,3,59,
129236,65,1,62,
129237,65,1,62,
129240,65,1,62,
129241,63,1,60,
129239,67,2,61,
129228,74,5,59,
129235,71,4,59,
129246,59,1,56,
129245,63,2,57,
129242,70,3,61,
129243,69,3,60,
129244,69,3,60,
129247,62,2,56,
129233,77,6,59,
129249,63,2,57,
129238,79,6,61,
129251,62,2,56,
129250,68,4,56,
129255,59,3,50,
129248,74,6,56,
129261,57,1,54,
129257,61,4,49,
129252,72,5,57,
129256,65,5,50,
129260,60,2,54,
129258,62,4,50,
129263,60,1,57,
129253,69,6,51,
129254,69,6,51,
129267,60,1,57,
129271,57,1,54,
129262,65,3,56,
129259,69,6,51,
129268,63,2,57,
129270,63,2,57,
129265,69,4,57,
129275,59,1,56,
129266,68,4,56,
129264,71,5,56,
129273,65,3,56,
129272,66,4,54,
129278,64,2,58,
129277,64,3,55,
129269,75,6,57,
129283,62,1,59,
129279,66,3,57,
129285,62,1,59,
129274,72,6,54,
129282,68,3,59,
129276,73,6,55,
129281,70,4,58,
129287,65,2,59,
129280,71,5,56,
129290,64,1,61,
129293,65,1,62,
129284,73,4,61,
129288,69,3,60,
129295,63,1,60,
129289,69,3,60,
129286,72,4,60,
129298,59,1,56,
129299,58,1,55,
129297,64,3,55,
129302,62,3,53,
129294,77,5,62,
129291,80,6,62,
129296,74,5,59,
129301,65,4,53,
129292,80,6,62,
129310,65,1,62,
129311,64,1,61,
129305,68,3,59,
129300,73,6,55,
129304,70,5,55,
129307,70,3,61,
129303,73,6,55,
129314,68,1,65,
129315,66,1,63,
129316,67,1,64,
129306,73,4,61,
129309,73,4,61,
129312,74,3,65,
129318,72,2,66,
129323,68,1,65,
129320,71,2,65,
129308,80,6,62,
129319,74,3,65,
129313,79,5,64,
129326,70,1,67,
129325,74,2,68,
129321,76,4,64,
129327,73,2,67,
129324,75,3,66,
129317,80,5,65,
129328,74,2,68,
129322,79,5,64,
129332,72,1,69,
129334,71,1,68,
129338,72,1,69,
129339,73,1,70,
129337,75,2,69,
129330,80,4,68,
129340,75,2,69,
129335,81,4,69,
129329,87,6,69,
129331,86,6,68,
129336,83,5,68,
129346,74,1,71,
129345,74,2,68,
129333,87,6,69,
129351,75,1,72,
129352,75,1,72,
129342,86,5,71,
129350,78,2,72,
129344,84,5,69,
129348,80,3,71,
129341,90,6,72,
129343,88,6,70,
129354,81,2,75,
129357,77,2,71,
129349,87,5,72,
129359,76,2,70,
129347,89,6,71,
129356,81,3,72,
129353,90,5,75,
129366,77,1,74,
129355,86,5,71,
129361,80,3,71,
129362,80,2,74,
129358,86,5,71,
129371,78,1,75,
129363,85,4,73,
129360,90,6,72,
129368,85,3,76,
129369,86,3,77,
129370,85,3,76,
129374,83,1,80,
129365,88,5,73,
129372,86,3,77,
129364,91,6,73,
129376,85,1,82,
129381,82,1,79,
129375,89,3,80,
129367,94,6,76,
129373,93,5,78,
129379,90,3,81,
129380,90,3,81,
129386,88,2,82,
129383,91,4,79,
129377,100,6,82,
129378,100,6,82,
129385,94,4,82,
129387,90,3,81,
129382,97,6,79,
129390,89,2,83,
129384,97,5,82,
129393,89,1,86,
129391,91,2,85,
129388,99,6,81,
129398,91,2,85,
129389,98,6,80,
129394,94,3,85,
129395,94,3,85,
129392,98,4,86,
129400,93,3,84,
129399,97,4,85,
129407,93,1,90,
129396,100,5,85,
129397,99,5,84,
129408,92,1,89,
129401,102,4,90,
129402,104,5,89,
129403,103,5,88,
129404,104,5,89,
129412,95,2,89,
129406,105,5,90,
129405,106,6,88,
129414,95,1,92,
129409,103,5,88,
129416,98,2,92,
129418,99,2,93,
129410,106,6,88,
129411,105,6,87,
129415,104,4,92,
129422,102,2,96,
129413,109,6,91,
129423,103,2,97,
129420,105,4,93,
129417,108,5,93,
129421,108,4,96,
129430,104,1,101,
129425,106,3,97,
129427,106,2,100,
129419,112,6,94,
129424,110,4,98,
129433,106,1,103,
129434,109,2,103,
129435,109,2,103,
129428,113,4,101,
129429,113,4,101,
129436,110,2,104,
129431,113,4,101,
129426,117,6,99,
129442,110,1,107,
129432,116,4,104,
129443,109,1,106,
129438,114,3,105,
129439,113,2,107,
129445,107,1,104,
129440,116,3,107,
129441,116,3,107,
129437,119,5,104,
129448,108,2,102,
129451,107,2,101,
129444,117,4,105,
129447,116,4,104,
129455,108,2,102,
129450,113,4,101,
129446,121,5,106,
129457,110,2,104,
129449,116,5,101,
129459,113,2,107,
129453,116,5,101,
129454,117,5,102,
129458,116,3,107,
129462,114,2,108,
129452,121,6,103,
129460,115,3,106,
129456,119,5,104,
129468,112,1,109,
129465,113,2,107,
129461,123,5,108,
129473,111,1,108,
129463,122,5,107,
129467,120,4,108,
129469,120,4,108,
129464,126,5,111,
129474,116,2,110,
129472,122,4,110,
129479,116,1,113,
129466,126,6,108,
129477,119,2,113,
129470,126,6,108,
129471,126,6,108,
129476,122,4,110,
129475,125,5,110,
129486,118,1,115,
129481,124,3,115,
129484,124,3,115,
129478,128,5,113,
129487,122,2,116,
129488,122,2,116,
129489,122,2,116,
129483,129,5,114,
129480,131,6,113,
129490,121,2,115,
129492,121,2,115,
129482,132,6,114,
129497,117,1,114,
129498,115,1,112,
129494,121,2,115,
129485,133,6,115,
129491,132,5,117,
129493,130,5,115,
129500,121,3,112,
129496,125,4,113,
129495,130,5,115,
129503,122,3,113,
129507,121,1,118,
129501,126,4,114,
129499,129,5,114,
129502,128,5,113,
129511,123,1,120,
129504,127,5,112,
129509,127,3,118,
129510,128,3,119,
129506,130,4,118,
129515,125,2,119,
129514,129,3,120,
129505,137,6,119,
129516,127,3,118,
129520,121,1,118,
129508,136,6,118,
129513,133,5,118,
129525,117,1,114,
129512,139,6,121,
129517,133,4,121,
129518,128,4,116,
129528,119,1,116,
129522,125,3,116,
129524,124,3,115,
129519,134,6,116,
129530,119,2,113,
129521,135,5,120,
129531,120,2,114,
129527,129,4,117,
129523,132,6,114,
129526,131,5,116,
129534,123,3,114,
129529,132,6,114,
129533,128,5,113,
129541,119,1,116,
129532,130,6,112,
129542,120,1,117,
129537,127,4,115,
129535,130,5,115,
129538,126,4,114,
129536,134,6,116,
129539,128,5,113,
129549,121,2,115,
129550,122,1,119,
129540,132,6,114,
129546,124,3,115,
129543,131,4,119,
129548,124,3,115,
129547,128,4,116,
129544,133,5,118,
129545,132,5,117,
129551,135,6,117,
129552,138,6,120,
