number of cooks =4,number of max customers per minute = 7,number of Cashiers = 4,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
34127,7,1,0,
34129,14,2,0,
34131,7,1,0,
34128,28,4,0,
34130,21,3,0,
34133,21,3,0,
34134,23,2,9,
34132,28,4,0,
34136,28,1,21,
34137,28,2,14,
34135,40,4,12,
34140,36,1,29,
34138,40,3,19,
34139,41,3,20,
34141,51,3,30,
34144,36,2,22,
34142,64,4,36,
34145,47,2,33,
34143,49,4,21,
34148,52,2,38,
34146,65,4,37,
34147,66,3,45,
34152,55,1,48,
34150,57,2,43,
34149,68,4,40,
34151,67,3,46,
34156,65,1,58,
34153,77,3,56,
34154,76,4,48,
34155,77,4,49,
34158,79,3,58,
34157,94,4,66,
34160,89,3,68,
34161,94,2,80,
34159,95,4,67,
34164,92,1,85,
34165,93,1,86,
34163,101,3,80,
34162,112,4,84,
34166,121,4,93,
34167,121,4,93,
34168,129,4,101,
34169,122,4,94,
34171,134,3,113,
34170,140,4,112,
34175,138,1,131,
34172,149,4,121,
34173,141,4,113,
34176,136,1,129,
34178,139,1,132,
34174,153,4,125,
34179,134,1,127,
34180,137,1,130,
34181,148,2,134,
34177,158,4,130,
34182,149,2,135,
34185,146,1,139,
34186,147,1,140,
34183,158,3,137,
34184,169,3,148,
34187,168,3,147,
34188,166,4,138,
34189,168,4,140,
34193,166,1,159,
34190,179,4,151,
34191,180,3,159,
34192,180,2,166,
34196,192,3,171,
34194,195,4,167,
34195,198,4,170,
34197,190,4,162,
34198,190,1,183,
34199,214,4,186,
34200,217,4,189,
34201,218,4,190,
34202,218,4,190,
34203,212,1,205,
34205,214,2,200,
34206,221,3,200,
34207,224,3,203,
34204,236,4,208,
34211,231,2,217,
34208,243,4,215,
34209,242,3,221,
34210,236,3,215,
34212,243,3,222,
34213,235,3,214,
34214,242,4,214,
34215,245,4,217,
34216,248,2,234,
34218,249,1,242,
34220,246,1,239,
34222,244,1,237,
34217,263,4,235,
34219,257,3,236,
34225,235,1,228,
34224,239,2,225,
34221,269,4,241,
34226,250,2,236,
34223,273,4,245,
34228,244,2,230,
34227,261,3,240,
34229,255,2,241,
34232,249,1,242,
34230,255,3,234,
34231,256,3,235,
34233,267,3,246,
34234,270,3,249,
34236,261,2,247,
34237,265,1,258,
34235,276,3,255,
34240,272,1,265,
34238,276,2,262,
34239,276,2,262,
34241,281,2,267,
34245,267,2,253,
34244,278,3,257,
34242,292,4,264,
34243,285,4,257,
34247,276,1,269,
34248,280,1,273,
34250,264,1,257,
34246,289,3,268,
34249,280,2,266,
34253,284,2,270,
34254,275,2,261,
34252,286,3,265,
34251,289,4,261,
34255,282,1,275,
34258,284,2,270,
34256,297,3,276,
34261,275,1,268,
34257,295,4,267,
34259,301,4,273,
34260,306,3,285,
34262,290,2,276,
34263,290,2,276,
34267,278,1,271,
34264,303,3,282,
34266,304,2,290,
34265,307,3,286,
34268,293,2,279,
34269,298,2,284,
34272,291,1,284,
34271,300,3,279,
34273,303,2,289,
34270,314,4,286,
34275,305,2,291,
34276,308,2,294,
34274,320,4,292,
34278,303,1,296,
34277,323,4,295,
34280,315,2,301,
34279,320,3,299,
34282,327,2,313,
34281,332,4,304,
34283,336,3,315,
34285,333,2,319,
34284,339,4,311,
34286,344,3,323,
34288,338,2,324,
34287,349,3,328,
34291,346,1,339,
34290,349,2,335,
34289,358,4,330,
34295,356,1,349,
34292,367,4,339,
34294,361,3,340,
34293,374,4,346,
34296,371,2,357,
34299,372,1,365,
34298,382,3,361,
34300,376,2,362,
34297,387,4,359,
34301,378,2,364,
34302,388,2,374,
34303,398,3,377,
34305,390,3,369,
34307,396,1,389,
34304,396,4,368,
34308,395,2,381,
34306,407,4,379,
34309,388,3,367,
34310,388,3,367,
34311,390,2,376,
34312,399,3,378,
34316,387,1,380,
34314,400,3,379,
34313,416,4,388,
34315,409,4,381,
34318,412,3,391,
34317,416,4,388,
34319,419,3,398,
34322,404,1,397,
34323,407,1,400,
34320,427,4,399,
34321,440,4,412,
34325,422,2,408,
34326,403,2,389,
34324,426,3,405,
34330,404,1,397,
34328,407,2,393,
34327,423,3,402,
34329,415,3,394,
34331,419,2,405,
34333,411,1,404,
34335,417,1,410,
34334,420,2,406,
34332,426,4,398,
34336,423,3,402,
34340,421,1,414,
34337,436,4,408,
34338,439,4,411,
34339,435,4,407,
34343,417,1,410,
34344,423,1,416,
34341,433,3,412,
34342,435,4,407,
34346,408,2,394,
34345,446,4,418,
34347,422,4,394,
34349,423,2,409,
34351,429,1,422,
34352,421,1,414,
34348,434,4,406,
34350,437,3,416,
34354,429,1,422,
34355,439,2,425,
34357,443,2,429,
34353,449,4,421,
34356,456,4,428,
34359,449,2,435,
34358,458,4,430,
34362,463,2,449,
34360,468,4,440,
34361,469,3,448,
34366,467,1,460,
34363,479,3,458,
34365,473,2,459,
34367,482,2,468,
34364,483,4,455,
34368,489,4,461,
34369,492,4,464,
34370,501,4,473,
