number of cooks =6,number of max customers per minute = 5,number of Cashiers = 4,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
41427,15,1,0,
41430,15,1,0,
41431,15,1,0,
41433,15,1,0,
41429,30,2,0,
41432,30,2,0,
41434,21,1,6,
41435,21,1,6,
41428,45,3,0,
41436,36,2,6,
41438,41,2,11,
41439,42,2,12,
41441,36,2,6,
41437,46,3,1,
41440,57,3,12,
41445,22,1,7,
41442,45,3,0,
41443,47,3,2,
41444,48,3,3,
41449,41,1,26,
41446,52,3,7,
41447,53,3,8,
41450,53,1,38,
41451,44,1,29,
41448,58,3,13,
41455,49,1,34,
41457,24,1,9,
41454,64,2,34,
41452,77,3,32,
41453,78,3,33,
41456,70,3,25,
41460,65,2,35,
41458,65,3,20,
41461,58,2,28,
41462,59,2,29,
41459,70,3,25,
41463,71,2,41,
41464,71,1,56,
41467,55,1,40,
41469,47,1,32,
41465,91,3,46,
41466,84,3,39,
41468,76,3,31,
41471,66,2,36,
41470,77,3,32,
41472,78,2,48,
41473,82,2,52,
41475,77,2,47,
41476,77,2,47,
41477,88,2,58,
41478,79,2,49,
41474,100,3,55,
41481,83,1,68,
41485,79,1,64,
41479,108,3,63,
41483,100,2,70,
41480,113,3,68,
41482,114,3,69,
41484,106,3,61,
41489,99,1,84,
41486,110,2,80,
41487,109,2,79,
41488,111,2,81,
41491,102,1,87,
41493,86,1,71,
41490,125,2,95,
41492,100,2,70,
41497,92,1,77,
41499,106,1,91,
41500,98,1,83,
41494,125,3,80,
41495,127,3,82,
41496,118,3,73,
41502,104,1,89,
41498,131,3,86,
41505,104,1,89,
41501,127,2,97,
41504,118,2,88,
41506,125,2,95,
41503,141,3,96,
41507,132,2,102,
41512,67,1,52,
41513,68,1,53,
41510,119,2,89,
41508,140,3,95,
41509,143,3,98,
41511,76,2,46,
41514,73,1,58,
41517,66,1,51,
41519,52,1,37,
41521,52,1,37,
41518,74,2,44,
41522,58,1,43,
41515,94,3,49,
41516,95,3,50,
41524,50,1,35,
41520,89,3,44,
41525,49,2,19,
41526,55,2,25,
41523,78,3,33,
41529,60,2,30,
41527,61,3,16,
41531,51,1,36,
41528,66,3,21,
41534,57,1,42,
41535,57,1,42,
41530,75,3,30,
41537,73,1,58,
41532,84,3,39,
41536,77,2,47,
41533,96,3,51,
41538,78,2,48,
41540,79,1,64,
41543,82,1,67,
41544,84,1,69,
41542,88,2,58,
41539,101,3,56,
41545,90,2,60,
41541,100,3,55,
41547,95,2,65,
41550,76,1,61,
41548,99,2,69,
41549,82,2,52,
41546,118,3,73,
41552,71,1,56,
41553,72,1,57,
41551,86,3,41,
41557,67,1,52,
41558,68,1,53,
41559,82,1,67,
41561,74,1,59,
41554,95,3,50,
41555,98,3,53,
41556,94,3,49,
41560,103,3,58,
41562,93,2,63,
41564,86,2,56,
41565,89,2,59,
41566,95,2,65,
41567,89,1,74,
41563,100,3,55,
41571,91,1,76,
41570,100,2,70,
41568,119,3,74,
41569,122,3,77,
41574,102,2,72,
41572,125,3,80,
41576,105,1,90,
41573,126,3,81,
41579,111,1,96,
41575,126,3,81,
41581,117,2,87,
41577,128,3,83,
41583,122,1,107,
41578,138,3,93,
41580,141,3,96,
41582,132,2,102,
