number of cooks =12,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
100200,10,1,0,
100202,10,1,0,
100205,10,1,0,
100199,20,2,0,
100209,10,1,0,
100212,10,1,0,
100213,11,1,1,
100207,20,2,0,
100208,20,2,0,
100201,30,3,0,
100215,17,1,7,
100203,30,3,0,
100204,30,3,0,
100206,30,3,0,
100216,19,1,9,
100218,19,1,9,
100214,27,2,7,
100210,30,3,0,
100211,30,3,0,
100221,22,1,12,
100224,19,1,9,
100226,18,1,8,
100228,24,1,14,
100229,23,1,13,
100222,31,2,11,
100223,31,2,11,
100217,40,3,10,
100232,23,1,13,
100219,45,3,15,
100220,42,3,12,
100230,33,2,13,
100233,28,1,18,
100225,39,3,9,
100231,32,2,12,
100227,44,3,14,
100235,37,2,17,
100237,38,2,18,
100244,21,1,11,
100240,37,2,17,
100234,48,3,18,
100236,47,3,17,
100241,34,2,14,
100246,27,1,17,
100238,44,3,14,
100239,46,3,16,
100249,35,1,25,
100242,45,3,15,
100250,35,1,25,
100252,33,1,23,
100243,40,3,10,
100247,39,2,19,
100248,39,2,19,
100254,33,1,23,
100245,46,3,16,
100255,37,1,27,
100256,37,1,27,
100251,45,2,25,
100253,42,2,22,
100263,37,1,27,
100264,40,1,30,
100257,48,2,28,
100266,38,1,28,
100267,36,1,26,
100259,47,2,27,
100260,47,2,27,
100269,39,1,29,
100265,50,2,30,
100258,57,3,27,
100272,44,1,34,
100261,56,3,26,
100262,57,3,27,
100268,57,3,27,
100273,53,2,33,
100280,47,1,37,
100276,56,2,36,
100270,63,3,33,
100277,57,2,37,
100271,64,3,34,
100274,63,3,33,
100279,59,2,39,
100275,63,3,33,
100281,58,2,38,
100278,69,3,39,
100283,65,2,45,
100284,66,2,46,
100292,62,1,52,
100287,71,2,51,
100288,72,2,52,
100293,66,1,56,
100282,75,3,45,
100289,72,2,52,
100291,71,2,51,
100295,68,1,58,
100285,79,3,49,
100286,81,3,51,
100290,81,3,51,
100301,70,1,60,
100300,80,2,60,
100294,87,3,57,
100307,76,1,66,
100302,80,2,60,
100303,82,2,62,
100296,86,3,56,
100305,86,2,66,
100297,91,3,61,
100298,91,3,61,
100299,91,3,61,
100309,82,1,72,
100310,81,1,71,
100304,93,3,63,
100315,82,1,72,
100306,98,3,68,
100308,94,2,74,
100312,91,2,71,
100321,88,1,78,
100316,94,2,74,
100323,89,1,79,
100318,94,2,74,
100311,99,3,69,
100319,92,2,72,
100313,100,3,70,
100314,104,3,74,
100317,103,3,73,
100322,99,2,79,
100330,93,1,83,
100320,105,3,75,
100325,106,2,86,
100333,98,1,88,
100334,98,1,88,
100327,104,2,84,
100329,102,2,82,
100324,111,3,81,
100332,107,2,87,
100326,117,3,87,
100328,114,3,84,
100331,112,3,82,
100342,107,1,97,
100336,111,2,91,
100344,113,1,103,
100340,116,2,96,
100341,115,2,95,
100335,120,3,90,
100346,113,1,103,
100337,125,3,95,
100338,126,3,96,
100349,119,1,109,
100339,126,3,96,
100347,124,2,104,
100343,131,3,101,
100355,126,1,116,
100345,133,3,103,
100356,127,1,117,
100357,126,1,116,
100350,130,2,110,
100351,129,2,109,
100352,130,2,110,
100353,130,2,110,
100348,134,3,104,
100359,132,1,122,
100361,132,1,122,
100369,132,1,122,
100354,146,3,116,
100362,141,2,121,
100363,141,2,121,
100364,139,2,119,
100370,134,1,124,
100358,149,3,119,
100360,155,3,125,
100365,149,3,119,
100366,149,3,119,
100367,150,3,120,
100377,140,1,130,
100368,148,3,118,
100372,149,2,129,
100375,150,2,130,
100376,150,2,130,
100379,146,1,136,
100381,147,1,137,
100371,162,3,132,
100378,157,2,137,
100373,162,3,132,
100374,161,3,131,
100380,157,2,137,
100382,157,2,137,
100384,160,2,140,
100392,153,1,143,
100385,163,2,143,
100386,159,2,139,
100387,159,2,139,
100388,160,2,140,
100383,167,3,137,
100390,166,2,146,
100398,158,1,148,
100393,164,2,144,
100399,157,1,147,
100394,165,2,145,
100400,152,1,142,
100401,152,1,142,
100389,175,3,145,
100395,170,2,150,
100391,175,3,145,
100406,159,1,149,
100410,162,1,152,
100411,164,1,154,
100396,180,3,150,
100397,178,3,148,
100403,169,2,149,
100405,168,2,148,
100408,168,2,148,
100402,177,3,147,
100413,167,1,157,
100414,165,1,155,
100415,161,1,151,
100416,161,1,151,
100404,178,3,148,
100407,179,3,149,
100409,182,3,152,
100422,158,1,148,
100417,171,2,151,
100425,156,1,146,
100412,182,3,152,
100419,172,2,152,
100420,168,2,148,
100418,180,3,150,
100429,161,1,151,
100430,160,1,150,
100431,162,1,152,
100432,161,1,151,
100421,178,3,148,
100423,178,3,148,
100424,176,3,146,
100426,176,3,146,
100427,180,3,150,
100433,175,2,155,
100439,171,1,161,
100428,181,3,151,
100441,171,1,161,
100434,175,2,155,
100435,176,2,156,
100436,175,2,155,
100437,177,2,157,
100444,175,1,165,
100440,182,2,162,
100438,186,3,156,
100451,169,1,159,
100443,183,2,163,
100445,184,2,164,
100452,175,1,165,
100448,185,2,165,
100449,185,2,165,
100442,189,3,159,
100456,178,1,168,
100446,196,3,166,
100453,185,2,165,
100458,180,1,170,
100447,195,3,165,
100450,189,3,159,
100459,181,1,171,
100454,188,2,168,
100457,191,2,171,
100463,187,1,177,
100464,186,1,176,
100466,185,1,175,
100460,190,2,170,
100461,190,2,170,
100455,198,3,168,
100465,196,2,176,
100467,196,2,176,
100475,187,1,177,
100462,203,3,173,
100471,201,2,181,
100472,198,2,178,
100468,204,3,174,
100469,204,3,174,
100480,200,1,190,
100470,210,3,180,
100473,208,3,178,
100474,208,3,178,
100478,206,2,186,
100483,202,1,192,
100479,206,2,186,
100476,209,3,179,
100477,215,3,185,
100482,213,2,193,
100487,209,1,199,
100489,208,1,198,
100491,207,1,197,
100484,213,2,193,
100485,217,2,197,
100486,217,2,197,
100481,223,3,193,
100488,219,2,199,
100490,218,2,198,
100492,218,2,198,
100500,214,1,204,
100493,224,2,204,
100495,222,2,202,
100498,220,2,200,
100504,216,1,206,
100499,222,2,202,
100505,221,1,211,
100494,235,3,205,
100502,225,2,205,
100496,233,3,203,
100503,225,2,205,
100497,230,3,200,
100501,235,3,205,
100513,228,1,218,
100514,226,1,216,
100508,233,2,213,
100509,233,2,213,
100506,242,3,212,
100511,238,2,218,
100512,239,2,219,
100507,241,3,211,
100515,236,2,216,
100510,246,3,216,
100517,243,2,223,
100522,237,1,227,
100523,236,1,226,
100525,236,1,226,
100516,246,3,216,
100520,244,2,224,
100521,241,2,221,
100528,242,1,232,
100518,255,3,225,
100519,254,3,224,
100526,245,2,225,
100533,237,1,227,
100524,257,3,227,
100531,247,2,227,
100537,244,1,234,
100534,247,2,227,
100527,260,3,230,
100529,260,3,230,
100530,260,3,230,
100535,254,2,234,
100532,256,3,226,
100542,247,1,237,
100539,254,2,234,
100544,250,1,240,
100540,259,2,239,
100545,253,1,243,
100541,256,2,236,
100536,264,3,234,
100538,263,3,233,
100546,263,2,243,
100547,262,2,242,
100553,254,1,244,
100549,262,2,242,
100543,268,3,238,
100551,264,2,244,
100554,263,2,243,
100555,261,2,241,
100548,273,3,243,
100550,273,3,243,
100562,261,1,251,
100552,276,3,246,
100556,271,3,241,
100563,265,1,255,
100565,262,1,252,
100560,268,2,248,
100561,268,2,248,
100566,264,1,254,
100567,267,1,257,
100557,276,3,246,
100558,277,3,247,
100559,276,3,246,
100572,270,1,260,
100573,269,1,259,
100568,279,2,259,
100577,274,1,264,
100564,285,3,255,
100570,280,2,260,
100574,279,2,259,
100579,275,1,265,
100575,282,2,262,
100581,278,1,268,
100578,282,2,262,
100569,290,3,260,
100571,290,3,260,
100584,278,1,268,
100586,278,1,268,
100576,293,3,263,
100582,289,2,269,
100588,283,1,273,
100590,282,1,272,
100591,283,1,273,
100580,295,3,265,
100587,292,2,272,
100583,297,3,267,
