number of cooks =20,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
4,7,1,0,
12,7,1,0,
3,14,2,0,
16,7,1,0,
17,7,1,0,
6,14,2,0,
7,14,2,0,
8,14,2,0,
11,14,2,0,
14,14,2,0,
24,10,1,3,
18,14,2,0,
9,21,3,0,
1,28,4,0,
28,8,1,1,
20,14,2,0,
21,14,2,0,
29,8,1,1,
2,28,4,0,
13,21,3,0,
5,28,4,0,
30,11,1,4,
19,21,3,0,
10,28,4,0,
37,8,1,1,
22,22,3,1,
23,22,3,1,
15,28,4,0,
25,24,3,3,
27,21,3,0,
34,19,2,5,
35,18,2,4,
36,15,2,1,
38,15,2,1,
48,9,1,2,
26,30,4,2,
49,10,1,3,
33,25,3,4,
39,22,3,1,
40,23,3,2,
41,22,3,1,
42,22,3,1,
31,33,4,5,
32,33,4,5,
43,23,3,2,
44,24,3,3,
47,22,3,1,
51,14,2,0,
52,14,2,0,
45,29,4,1,
46,30,4,2,
64,7,1,0,
53,21,3,0,
56,14,2,0,
67,7,1,0,
50,28,4,0,
69,7,1,0,
70,7,1,0,
71,7,1,0,
54,21,3,0,
55,21,3,0,
72,9,1,2,
75,9,1,2,
59,21,3,0,
60,21,3,0,
76,8,1,1,
79,7,1,0,
66,21,3,0,
73,16,2,2,
57,28,4,0,
58,28,4,0,
61,28,4,0,
62,28,4,0,
63,28,4,0,
65,28,4,0,
86,7,1,0,
78,14,2,0,
87,9,1,2,
90,8,1,1,
80,14,2,0,
68,28,4,0,
77,22,3,1,
94,10,1,3,
96,10,1,3,
88,15,2,1,
98,11,1,4,
89,16,2,2,
74,29,4,1,
84,21,3,0,
93,17,2,3,
97,17,2,3,
104,13,1,6,
81,28,4,0,
108,13,1,6,
91,23,3,2,
100,17,2,3,
101,17,2,3,
82,28,4,0,
83,28,4,0,
85,28,4,0,
109,16,1,9,
107,21,2,7,
99,25,3,4,
117,11,1,4,
92,31,4,3,
102,25,3,4,
110,23,2,9,
95,31,4,3,
105,28,3,7,
118,19,2,5,
119,17,2,3,
124,13,1,6,
103,34,4,6,
106,35,4,7,
114,27,3,6,
116,26,3,5,
121,25,3,4,
128,15,2,1,
111,38,4,10,
112,36,4,8,
129,17,2,3,
113,33,4,5,
134,10,1,3,
122,28,3,7,
115,33,4,5,
125,22,3,1,
120,32,4,4,
127,23,3,2,
123,35,4,7,
142,11,1,4,
130,26,3,5,
131,23,3,2,
126,29,4,1,
132,21,3,0,
137,19,2,5,
147,7,1,0,
141,19,2,5,
143,19,2,5,
144,17,2,3,
135,25,3,4,
136,24,3,3,
151,8,1,1,
133,30,4,2,
139,26,3,5,
148,14,2,0,
146,22,3,1,
138,34,4,6,
140,33,4,5,
145,31,4,3,
154,14,2,0,
160,7,1,0,
161,7,1,0,
162,7,1,0,
157,14,2,0,
149,28,4,0,
150,28,4,0,
152,28,4,0,
170,7,1,0,
155,21,3,0,
156,21,3,0,
153,28,4,0,
167,14,2,0,
175,10,1,3,
168,14,2,0,
169,14,2,0,
176,11,1,4,
178,10,1,3,
173,15,2,1,
158,28,4,0,
165,21,3,0,
166,21,3,0,
181,12,1,5,
159,28,4,0,
186,10,1,3,
172,23,3,2,
163,28,4,0,
164,28,4,0,
189,12,1,5,
190,10,1,3,
