number of cooks =13,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
2,10,1,0,
4,10,1,0,
5,10,1,0,
8,10,1,0,
9,10,1,0,
3,20,2,0,
11,10,1,0,
12,10,1,0,
15,10,1,0,
6,20,2,0,
16,10,1,0,
1,30,3,0,
7,20,2,0,
18,13,1,3,
19,11,1,1,
20,10,1,0,
13,20,2,0,
21,10,1,0,
23,12,1,2,
24,11,1,1,
10,30,3,0,
14,30,3,0,
29,17,1,7,
30,15,1,5,
33,15,1,5,
25,23,2,3,
26,22,2,2,
17,33,3,3,
34,18,1,8,
27,25,2,5,
28,24,2,4,
31,23,2,3,
22,31,3,1,
32,26,2,6,
40,23,1,13,
41,23,1,13,
37,31,2,11,
45,24,1,14,
38,33,2,13,
39,34,2,14,
44,31,2,11,
35,41,3,11,
36,42,3,12,
50,28,1,18,
46,34,2,14,
47,35,2,15,
53,31,1,21,
48,33,2,13,
42,42,3,12,
43,43,3,13,
56,33,1,23,
58,33,1,23,
59,34,1,24,
49,43,3,13,
51,48,3,18,
57,44,2,24,
65,37,1,27,
52,50,3,20,
66,37,1,27,
60,44,2,24,
62,43,2,23,
63,43,2,23,
54,52,3,22,
55,54,3,24,
69,40,1,30,
71,41,1,31,
61,52,3,22,
76,43,1,33,
77,43,1,33,
64,57,3,27,
78,46,1,36,
67,54,3,24,
74,53,2,33,
75,53,2,33,
68,60,3,30,
83,51,1,41,
70,61,3,31,
72,62,3,32,
79,57,2,37,
73,62,3,32,
80,58,2,38,
81,60,2,40,
84,62,2,42,
90,59,1,49,
91,61,1,51,
87,66,2,46,
82,70,3,40,
89,69,2,49,
97,62,1,52,
85,74,3,44,
94,68,2,48,
86,75,3,45,
88,78,3,48,
96,74,2,54,
92,80,3,50,
93,78,3,48,
104,69,1,59,
99,76,2,56,
95,80,3,50,
106,73,1,63,
101,77,2,57,
102,78,2,58,
98,84,3,54,
103,79,2,59,
100,85,3,55,
117,76,1,66,
105,90,3,60,
112,82,2,62,
118,80,1,70,
113,85,2,65,
107,96,3,66,
115,86,2,66,
108,90,3,60,
109,91,3,61,
116,87,2,67,
110,91,3,61,
111,93,3,63,
121,88,1,78,
114,95,3,65,
124,91,1,81,
126,91,1,81,
122,99,2,79,
125,102,2,82,
127,102,2,82,
119,106,3,76,
120,106,3,76,
123,110,3,80,
135,98,1,88,
132,103,2,83,
133,105,2,85,
128,111,3,81,
137,102,1,92,
129,109,3,79,
130,111,3,81,
131,111,3,81,
140,104,1,94,
141,104,1,94,
142,102,1,92,
143,104,1,94,
134,114,3,84,
138,109,2,89,
