number of cooks =12,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
93098,7,1,0,
93099,7,1,0,
93101,7,1,0,
93103,7,1,0,
93106,7,1,0,
93111,7,1,0,
93100,21,3,0,
93107,14,2,0,
93104,21,3,0,
93112,14,2,0,
93105,21,3,0,
93102,28,4,0,
93115,19,2,5,
93119,17,1,10,
93116,22,2,8,
93114,25,3,4,
93108,28,4,0,
93109,28,4,0,
93110,28,4,0,
93113,28,4,0,
93122,23,1,16,
93117,29,3,8,
93125,20,1,13,
93131,22,1,15,
93121,35,3,14,
93118,39,4,11,
93123,31,3,10,
93120,40,4,12,
93127,34,3,13,
93128,34,3,13,
93124,41,4,13,
93126,41,4,13,
93129,42,4,14,
93135,35,2,21,
93130,42,4,14,
93136,30,2,16,
93132,42,4,14,
93133,42,3,21,
93134,40,3,19,
93139,33,2,19,
93143,31,1,24,
93137,38,3,17,
93144,31,1,24,
93140,38,2,24,
93141,45,3,24,
93148,40,2,26,
93138,48,4,20,
93145,45,3,24,
93146,48,3,27,
93147,48,3,27,
93149,48,3,27,
93142,52,4,24,
93152,48,3,27,
93153,48,3,27,
93158,46,1,39,
93159,44,1,37,
93156,48,2,34,
93150,56,4,28,
93151,55,4,27,
93162,46,1,39,
93163,47,1,40,
93154,56,3,35,
93155,55,3,34,
93166,46,1,39,
93160,52,2,38,
93161,51,2,37,
93157,57,3,36,
93168,54,2,40,
93176,47,1,40,
93173,54,2,40,
93174,53,2,39,
93170,60,3,39,
93164,69,4,41,
93165,69,4,41,
93172,60,3,39,
93167,69,4,41,
93177,61,2,47,
93169,67,4,39,
93171,67,4,39,
93183,55,1,48,
93175,68,4,40,
93180,60,2,46,
93181,64,2,50,
93184,62,2,48,
93179,67,3,46,
93190,59,1,52,
93185,63,2,49,
93191,58,1,51,
93178,71,4,43,
93186,64,2,50,
93188,64,2,50,
93192,63,1,56,
93187,69,3,48,
93199,63,1,56,
93182,78,4,50,
93189,72,3,51,
93194,78,3,57,
93195,78,3,57,
93196,76,3,55,
93197,76,3,55,
93198,76,3,55,
93203,73,2,59,
93204,74,2,60,
93201,77,3,56,
93193,84,4,56,
93208,75,1,68,
93202,79,3,58,
93200,83,4,55,
93205,82,3,61,
93206,82,2,68,
93211,84,2,70,
93213,84,2,70,
93218,81,1,74,
93219,80,1,73,
93209,89,3,68,
93210,89,3,68,
93212,92,3,71,
93207,97,4,69,
93215,92,3,71,
93223,84,1,77,
93224,83,1,76,
93216,92,3,71,
93225,83,1,76,
93220,91,2,77,
93217,93,3,72,
93214,96,4,68,
93226,87,1,80,
93222,90,2,76,
93228,88,1,81,
93230,87,1,80,
93237,86,1,79,
93227,95,2,81,
93231,94,2,80,
93232,94,2,80,
93233,92,2,78,
93221,106,4,78,
93239,94,2,80,
93234,99,3,78,
93235,99,3,78,
93240,99,2,85,
93241,99,2,85,
93229,109,4,81,
93244,97,2,83,
93247,95,1,88,
93236,107,4,79,
93238,109,4,81,
93242,104,3,83,
93252,97,1,90,
93248,101,2,87,
93253,95,1,88,
93254,96,1,89,
93243,109,4,81,
93256,96,1,89,
93245,111,4,83,
93257,98,1,91,
93249,111,3,90,
93250,110,3,89,
93251,109,3,88,
93246,114,4,86,
93258,104,2,90,
93266,99,1,92,
93255,109,3,88,
93267,98,1,91,
93261,104,2,90,
93259,111,3,90,
