number of cooks =18,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
7,10,1,0,
8,10,1,0,
11,10,1,0,
12,10,1,0,
2,20,2,0,
14,10,1,0,
5,20,2,0,
16,10,1,0,
17,10,1,0,
20,10,1,0,
10,20,2,0,
13,20,2,0,
1,30,3,0,
3,30,3,0,
4,30,3,0,
6,30,3,0,
9,30,3,0,
19,20,2,0,
22,10,1,0,
15,30,3,0,
31,10,1,0,
32,10,1,0,
18,30,3,0,
23,20,2,0,
36,10,1,0,
27,20,2,0,
29,20,2,0,
21,30,3,0,
34,20,2,0,
42,16,1,6,
24,30,3,0,
25,30,3,0,
37,20,2,0,
26,30,3,0,
28,30,3,0,
44,17,1,7,
30,30,3,0,
45,18,1,8,
39,25,2,5,
40,24,2,4,
41,24,2,4,
33,30,3,0,
46,19,1,9,
35,30,3,0,
47,19,1,9,
43,26,2,6,
52,16,1,6,
55,16,1,6,
38,33,3,3,
57,18,1,8,
59,17,1,7,
60,17,1,7,
61,18,1,8,
63,16,1,6,
50,27,2,7,
51,26,2,6,
65,15,1,5,
48,39,3,9,
72,15,1,5,
49,37,3,7,
53,37,3,7,
54,35,3,5,
56,34,3,4,
67,27,2,7,
58,37,3,7,
62,37,3,7,
70,29,2,9,
71,30,2,10,
64,33,3,3,
76,21,1,11,
78,20,1,10,
73,26,2,6,
74,22,2,2,
75,24,2,4,
79,22,1,12,
66,36,3,6,
82,23,1,13,
68,39,3,9,
83,23,1,13,
69,39,3,9,
84,23,1,13,
85,23,1,13,
77,31,2,11,
87,20,1,10,
90,19,1,9,
91,17,1,7,
93,18,1,8,
95,18,1,8,
96,19,1,9,
98,18,1,8,
101,18,1,8,
89,30,2,10,
80,41,3,11,
104,14,1,4,
92,29,2,9,
81,41,3,11,
97,29,2,9,
107,19,1,9,
86,43,3,13,
99,28,2,8,
88,41,3,11,
102,27,2,7,
110,18,1,8,
111,17,1,7,
112,15,1,5,
94,36,3,6,
105,25,2,5,
108,28,2,8,
116,20,1,10,
100,38,3,8,
109,28,2,8,
103,34,3,4,
120,20,1,10,
121,21,1,11,
113,26,2,6,
125,17,1,7,
106,37,3,7,
126,22,1,12,
118,30,2,10,
119,31,2,11,
114,35,3,5,
123,28,2,8,
124,29,2,9,
