number of cooks =18,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
42790,15,5,0,
42798,3,1,0,
42788,18,6,0,
42789,18,6,0,
42799,3,1,0,
42800,3,1,0,
42791,15,5,0,
42796,9,3,0,
42804,3,1,0,
42793,15,5,0,
42794,12,4,0,
42806,3,1,0,
42802,6,2,0,
42797,9,3,0,
42792,18,6,0,
42795,12,4,0,
42814,3,1,0,
42809,6,2,0,
42816,3,1,0,
42811,6,2,0,
42813,6,2,0,
42803,12,4,0,
42805,12,4,0,
42820,3,1,0,
42817,6,2,0,
42823,3,1,0,
42801,15,5,0,
42822,6,2,0,
42807,15,5,0,
42828,3,1,0,
42819,12,4,0,
42815,15,5,0,
42808,18,6,0,
42810,18,6,0,
42812,18,6,0,
42818,15,5,0,
42826,9,3,0,
42831,6,2,0,
42821,18,6,0,
42825,12,4,0,
42827,12,4,0,
42836,3,1,0,
42829,12,4,0,
42833,9,3,0,
42830,12,4,0,
42824,18,6,0,
42837,6,2,0,
42832,12,4,0,
42834,9,3,0,
42843,3,1,0,
42835,15,5,0,
42845,6,2,0,
42840,12,4,0,
42842,12,4,0,
42848,6,2,0,
42844,9,3,0,
42841,15,5,0,
42851,3,1,0,
42838,18,6,0,
42839,18,6,0,
42846,12,4,0,
42850,6,2,0,
42855,3,1,0,
42856,3,1,0,
42852,6,2,0,
42857,3,1,0,
42858,3,1,0,
42849,12,4,0,
42847,15,5,0,
42859,9,3,0,
42853,15,5,0,
42863,6,2,0,
42854,18,6,0,
42861,12,4,0,
42862,12,4,0,
42867,9,3,0,
42860,18,6,0,
42866,12,4,0,
42869,9,3,0,
42874,3,1,0,
42865,15,5,0,
42864,18,6,0,
42868,15,5,0,
42873,6,2,0,
42870,12,4,0,
42871,12,4,0,
42886,3,1,0,
42883,6,2,0,
42876,12,4,0,
42885,6,2,0,
42877,12,4,0,
42872,15,5,0,
42887,6,2,0,
42881,12,4,0,
42893,3,1,0,
42878,15,5,0,
42891,6,2,0,
42875,18,6,0,
42879,18,6,0,
42894,3,1,0,
42890,9,3,0,
42884,15,5,0,
42880,18,6,0,
42888,12,4,0,
42882,18,6,0,
42889,15,5,0,
42892,18,6,0,
42896,12,4,0,
42900,9,3,0,
42904,6,2,0,
42895,15,5,0,
42901,12,4,0,
42905,9,3,0,
42898,15,5,0,
42902,12,4,0,
42903,12,4,0,
42907,6,2,0,
42897,18,6,0,
42899,18,6,0,
42906,12,4,0,
42911,9,3,0,
42910,12,4,0,
42918,3,1,0,
42919,3,1,0,
42914,9,3,0,
42921,3,1,0,
42912,12,4,0,
42908,18,6,0,
42909,18,6,0,
42915,12,4,0,
42913,15,5,0,
42923,6,2,0,
42917,12,4,0,
42916,15,5,0,
42925,3,1,0,
42920,12,4,0,
42922,15,5,0,
42924,12,4,0,
42926,12,4,0,
42937,3,1,0,
42927,12,4,0,
42928,12,4,0,
42934,6,2,0,
42931,9,3,0,
42940,3,1,0,
42941,3,1,0,
42929,12,4,0,
42935,9,3,0,
42932,12,4,0,
42933,12,4,0,
42930,15,5,0,
42943,3,1,0,
42942,6,2,0,
42936,12,4,0,
42938,15,5,0,
42939,15,5,0,
42947,6,2,0,
42944,12,4,0,
42946,12,4,0,
42950,9,3,0,
42948,12,4,0,
42949,12,4,0,
42956,3,1,0,
42954,6,2,0,
42957,3,1,0,
42945,18,6,0,
42953,9,3,0,
42955,9,3,0,
42958,9,3,0,
42952,15,5,0,
42963,6,2,0,
42964,6,2,0,
42966,3,1,0,
42961,9,3,0,
42967,3,1,0,
42951,18,6,0,
42959,12,4,0,
42960,12,4,0,
42962,12,4,0,
42970,3,1,0,
42971,6,2,0,
42969,12,4,0,
42965,18,6,0,
42972,6,2,0,
42968,15,5,0,
42978,6,2,0,
42975,9,3,0,
42981,6,2,0,
42974,12,4,0,
42979,9,3,0,
42973,18,6,0,
42985,3,1,0,
42977,15,5,0,
42984,9,3,0,
42976,18,6,0,
42980,18,6,0,
42983,15,5,0,
42982,18,6,0,
42987,6,2,0,
42988,6,2,0,
42993,3,1,0,
42996,3,1,0,
42989,12,4,0,
42986,18,6,0,
43000,3,1,0,
42997,6,2,0,
42990,15,5,0,
42994,12,4,0,
42991,15,5,0,
42992,15,5,0,
42995,12,4,0,
43001,6,2,0,
42998,12,4,0,
42999,12,4,0,
43002,12,4,0,
43003,12,4,0,
43012,3,1,0,
43004,12,4,0,
43016,3,1,0,
43020,3,1,0,
43005,15,5,0,
43011,9,3,0,
43006,15,5,0,
43007,15,5,0,
43010,12,4,0,
43013,12,4,0,
43008,15,5,0,
43019,9,3,0,
43023,9,3,0,
43009,18,6,0,
43031,3,1,0,
43021,12,4,0,
43017,15,5,0,
43029,6,2,0,
43018,15,5,0,
43014,18,6,0,
43015,18,6,0,
43024,12,4,0,
43025,12,4,0,
43039,3,1,0,
43034,7,2,1,
43026,15,5,0,
43022,18,6,0,
43038,6,2,0,
43032,12,4,0,
43033,12,4,0,
43035,10,3,1,
43028,17,5,2,
43030,15,5,0,
43046,3,1,0,
43027,18,6,0,
43044,6,2,0,
43048,6,2,0,
43041,12,4,0,
43037,15,5,0,
43040,15,5,0,
43050,9,3,0,
43036,18,6,0,
43054,3,1,0,
43042,15,5,0,
43052,9,3,0,
43043,18,6,0,
43060,3,1,0,
43045,18,6,0,
43047,19,6,1,
43049,18,6,0,
43061,3,1,0,
43051,18,6,0,
43057,9,3,0,
43058,9,3,0,
43053,15,5,0,
43066,3,1,0,
43055,15,5,0,
43059,15,5,0,
43062,9,3,0,
43070,3,1,0,
43056,18,6,0,
43063,12,4,0,
43075,3,1,0,
43064,12,4,0,
43067,12,4,0,
43068,12,4,0,
43065,15,5,0,
43072,9,3,0,
43069,12,4,0,
43081,3,1,0,
43078,6,2,0,
43079,6,2,0,
43073,12,4,0,
43082,3,1,0,
43074,12,4,0,
43084,3,1,0,
43085,3,1,0,
43080,9,3,0,
43071,18,6,0,
43077,15,5,0,
43076,18,6,0,
43083,12,4,0,
