number of cooks =10,number of max customers per minute = 5,number of Cashiers = 2,
Order Number,Time Taken,Number of Ordered Things,Excess Wait Time 
4,10,1,0,
6,10,1,0,
10,10,1,0,
1,20,2,0,
3,20,2,0,
5,20,2,0,
12,17,1,7,
13,19,1,9,
2,30,3,0,
16,23,1,13,
7,30,3,0,
8,30,3,0,
17,26,1,16,
9,30,3,0,
18,26,1,16,
14,32,2,12,
11,35,3,5,
21,31,1,21,
25,33,1,23,
19,39,2,19,
26,32,1,22,
15,43,3,13,
23,42,2,22,
24,42,2,22,
32,35,1,25,
27,43,2,23,
20,51,3,21,
28,44,2,24,
22,52,3,22,
30,46,2,26,
31,47,2,27,
39,44,1,34,
34,49,2,29,
29,58,3,28,
41,48,1,38,
35,54,2,34,
38,55,2,35,
33,60,3,30,
36,64,3,34,
46,53,1,43,
37,63,3,33,
43,59,2,39,
44,60,2,40,
40,67,3,37,
45,64,2,44,
47,66,2,46,
42,68,3,38,
48,65,2,45,
53,62,1,52,
50,71,2,51,
51,71,2,51,
56,67,1,57,
58,66,1,56,
52,70,2,50,
59,68,1,58,
54,73,2,53,
49,81,3,51,
55,74,2,54,
63,73,1,63,
67,75,1,65,
60,82,2,62,
57,85,3,55,
64,81,2,61,
65,84,2,64,
66,84,2,64,
70,81,1,71,
61,91,3,61,
62,92,3,62,
68,93,3,63,
76,87,1,77,
77,86,1,76,
72,93,2,73,
69,98,3,68,
73,95,2,75,
79,94,1,84,
71,102,3,72,
78,99,2,79,
74,105,3,75,
75,106,3,76,
85,93,1,83,
81,103,2,83,
83,99,2,79,
84,97,2,77,
86,101,2,81,
80,115,3,85,
82,115,3,85,
87,104,2,84,
89,107,2,87,
94,100,1,90,
91,102,2,82,
96,100,1,90,
97,100,1,90,
88,117,3,87,
98,104,1,94,
90,118,3,88,
95,108,2,88,
99,107,1,97,
100,105,1,95,
92,116,3,86,
93,114,3,84,
102,116,2,96,
110,109,1,99,
103,117,2,97,
101,127,3,97,
109,121,2,101,
104,129,3,99,
105,130,3,100,
106,129,3,99,
107,130,3,100,
108,128,3,98,
113,125,2,105,
117,126,1,116,
111,133,3,103,
115,132,2,112,
112,134,3,104,
116,134,2,114,
118,135,2,115,
119,135,2,115,
114,141,3,111,
123,135,1,125,
124,133,1,123,
122,143,2,123,
127,137,1,127,
120,145,3,115,
129,137,1,127,
130,138,1,128,
125,143,2,123,
121,149,3,119,
132,144,1,134,
128,146,2,126,
136,144,1,134,
137,142,1,132,
126,155,3,125,
134,153,2,133,
139,148,1,138,
140,148,1,138,
135,154,2,134,
131,158,3,128,
141,151,1,141,
142,149,1,139,
143,152,1,142,
133,163,3,133,
144,154,1,144,
146,154,1,144,
147,153,1,143,
149,148,1,138,
138,164,3,134,
145,165,2,145,
154,151,1,141,
155,152,1,142,
148,161,2,141,
150,156,2,136,
158,159,1,149,
159,156,1,146,
160,157,1,147,
161,157,1,147,
151,169,3,139,
152,170,3,140,
153,171,3,141,
165,163,1,153,
166,164,1,154,
156,174,3,144,
157,173,3,143,
164,173,2,153,
162,177,3,147,
173,171,1,161,
168,178,2,158,
169,178,2,158,
163,182,3,152,
171,182,2,162,
172,182,2,162,
167,186,3,156,
177,183,1,173,
179,183,1,173,
170,192,3,162,
175,190,2,170,
181,186,1,176,
183,190,1,180,
184,190,1,180,
174,199,3,169,
180,196,2,176,
186,191,1,181,
176,201,3,171,
187,191,1,181,
182,197,2,177,
178,202,3,172,
188,193,1,183,
189,191,1,181,
185,200,2,180,
192,188,1,178,
199,192,1,182,
191,198,2,178,
190,211,3,181,
201,202,1,192,
193,207,3,177,
202,202,1,192,
194,208,3,178,
195,208,3,178,
196,211,3,181,
197,210,3,180,
198,212,3,182,
200,213,3,183,
210,214,1,204,
203,219,2,199,
207,221,2,201,
213,222,1,212,
204,231,3,201,
205,231,3,201,
206,231,3,201,
208,231,3,201,
209,234,3,204,
211,235,3,205,
214,231,2,211,
216,229,1,219,
217,232,1,222,
212,238,3,208,
215,235,2,215,
219,239,2,219,
220,240,2,220,
222,244,2,224,
223,244,2,224,
224,243,2,223,
218,250,3,220,
227,243,2,223,
221,252,3,222,
230,249,1,239,
225,253,3,223,
226,253,3,223,
